Project.ID,Deployment.Location.ID,SiteName,Camera.Deployment.Start.Date,Camera.Deployment.End.Date,Deployment.ID,Year,Months,Folder,Problem,Camera
UWSS,Site01,1,2018-08-03,2018-08-10,18-Aug,2018,August,Aug 25th check,,Bushnell
UWSS,Site01,1,2018-08-25,2018-09-22,18-Sep,2018,September,September Check,,Bushnell
UWSS,Site01,1,2018-09-22,2018-10-28,18-Oct,2018,September;October,October November Check,,Bushnell
UWSS,Site01,1,2018-10-28,2018-12-24,18-Dec,2018,October;November;December,18-Dec,,Bushnell
UWSS,Site01,1,2018-12-24,2019-01-27,19-Jan,2019,December;January,19-Jan,,Bushnell
UWSS,Site01,1,2019-01-27,2019-03-30,19-Mar,2019,January;February;March,MarchandApril2019,,Bushnell
UWSS,Site01,1,2019-03-30,2019-05-10,19-Jun,2019,March;April;May;June,JuneJuly2019,,Bushnell
UWSS,Site01,1,NA,NA,19-Sep,2019,June;July;August;September,SeptoNov2019,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,19-Dec,2019,September;October;November,19-Dec,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,20-Jan,2020,December;January,20-Jan,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,20-Feb,2020,January;February,20-Feb,Camera angle off,Bushnell
UWSS,Site01,1,2020-02-29,2020-04-26,20-Apr,2020,February;March;April,20-Apr,,Bushnell
UWSS,Site01,1,2020-04-26,2020-05-30,20-May,2020,April;May,20-May,,Bushnell
UWSS,Site01,1,2020-05-30,2020-07-08,20-Jun,2020,May;June;July,20-Jun,,Bushnell
UWSS,Site01,1,2020-07-08,2020-08-04,20-Jul,2020,July;August,20-Jul,,Bushnell
UWSS,Site01,1,2020-08-04,2020-10-14,20-Oct,2020,August;September;October,20-Oct,,Bushnell
UWSS,Site01,1,2020-10-14,2020-11-27,20-Nov,2020,October;November,Nov-Dec 2020,,Bushnell
UWSS,Site01,1,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site01,1,2021-01-21,2021-04-23,21-Mar,2021,January;February;March;April,MarchApril2021,,Bushnell
UWSS,Site01,1,2021-04-23,2021-05-12,21-Jul,2021,April;May,21-Jul,,Bushnell
UWSS,Site01,1,2021-07-31,2021-09-01,21-Sep,2021,July;August;September,21-Sep,,Bushnell
UWSS,Site01,1,2021-09-01,2021-10-18,21-Oct,2021,September;October,21-Oct,,Bushnell
UWSS,Site01,1,2021-10-18,2022-05-28,22-Jun,2022,Oct-May,22-Jun,,Bushnell
UWSS,Site01,1,2022-06-23,2022-08-21,22-Aug,2022,June; July; August,22-Aug,,Bushnell
UWSS,Site01,1,2022-08-21,2022-09-15,22-Sep,2022,August;September,22-Sep,Bad camera,Bushnell
,,,,,,,,,,
UWSS,Site02,2,2018-07-31,2018-08-15,18-Aug,2018,July;August,Aug 25th check,,Bushnell
UWSS,Site02,2,2018-08-26,2018-09-17,18-Sep,2018,August;September,September Check,,Bushnell
UWSS,Site02,2,2018-09-22,2018-10-16,18-Oct,2018,September;October,October November Check,,Bushnell
UWSS,Site02,2,2018-10-28,2018-12-24,18-Dec,2018,October;November;December,18-Dec,,Bushnell
UWSS,Site02,2,2018-12-24,2019-01-27,19-Jan,2019,December;January,19-Jan,,Bushnell
UWSS,Site02,2,2019-01-27,2019-02-25,19-Mar,2019,January;February,MarchandApril2019,,Bushnell
UWSS,Site02,2,2019-03-30,2019-06-14,19-Jun,2019,March;April;June,JuneJuly2019,,Bushnell
UWSS,Site02,2,2019-06-30,2019-08-15,19-Sep,2019,June;July;August,SeptoNov2019,,Bushnell
UWSS,Site02,2,2019-09-15,2019-11-13,19-Dec,2019,September;October;November,19-Dec,,Bushnell
UWSS,Site02,2,2019-12-29,2020-01-25,20-Jan,2020,December;January,20-Jan,,Bushnell
UWSS,Site02,2,2020-01-25,2020-02-29,20-Feb,2020,January;February,20-Feb,,Bushnell
UWSS,Site02,2,2020-02-29,2020-04-12,20-Apr,2020,February;March;April,20-Apr,,Bushnell
UWSS,Site02,2,2020-04-26,2020-05-27,20-May,2020,April;May,20-May,,Bushnell
UWSS,Site02,2,2020-05-30,2020-06-29,20-Jun,2020,May;June,20-Jun,,Bushnell
UWSS,Site02,2,2020-07-08,2020-08-04,20-Jul,2020,July;August,20-Jul,,Bushnell
UWSS,Site02,2,2020-08-04,2020-08-12,20-Oct,2020,August,20-Oct,,Bushnell
UWSS,Site02,2,2020-10-14,2020-10-27,20-Nov,2020,October;November,20-Nov,,Bushnell
UWSS,Site02,2,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site02a,2a,2021-01-22,2021-02-19,21-Mar,2021,January;February,MarchApril2021,,Bushnell
UWSS,Site02a,2a,2021-04-23,2021-07-31,21-Jul,2021,February;March;April;May;June;July,21-Jul,,Bushnell
UWSS,Site02a,2a,2021-07-31,2021-09-01,21-Sep,2021,July;August;September,21-Sep,,Bushnell
UWSS,Site02a,2a,2021-09-01,2021-10-18,21-Oct,2021,September;October,21-Oct,,Bushnell
UWSS,Site02a,2a,2021-10-18,2022-05-24,22-Jun,2022,Oct-May,22-Jun,,Bushnell
UWSS,Site02a,2a,2022-06-23,2022-08-21,22-Aug,2022,June;July;August,22-Aug,,Bushnell
UWSS,Site02a,2a,2022-08-21,2022-10-02,22-Sep,2022,August;September; October,22-Sep,,Bushnell
,,,,,,,,,,
UWSS,Site03,3,2018-08-03,2018-08-25,18-Aug,2018,August,Aug 25th check,,Bushnell
UWSS,Site03,3,2018-08-25,2018-09-22,18-Sep,2018,September,September Check,,Bushnell
UWSS,Site03,3,NA,NA,18-Nov,2018,NA,October November Check,Date error,Bushnell
UWSS,Site03,3,2018-10-28,2018-12-24,18-Dec,2018,October;November;December,18-Dec,,Bushnell
UWSS,Site03,3,2018-12-24,2018-12-29,19-Jan,2019,December,19-Jan,Date error,Bushnell
UWSS,Site03,3,2018-01-27,2018-03-30,19-Mar,2019,January;March;April,MarchandApril2019,,Bushnell
UWSS,Site03,3,2019-03-30,2019-06-30,19-Jun,2019,March;April;May;June,JuneJuly2019,,Bushnell
UWSS,Site03,3,2019-06-30,2019-09-15,19-Sep,2019,June;July;August;September,SeptoNov2019,,Bushnell
UWSS,Site03,3,2019-09-15,2019-12-29,19-Dec,2019,September;October;November;December,19-Dec,,Bushnell
UWSS,Site03,3,2019-12-29,2020-01-25,20-Jan,2020,December;January,20-Jan,,Bushnell
UWSS,Site03,3,2020-01-25,2020-02-04,20-Feb,2020,January;February,20-Feb,,Bushnell
UWSS,Site03,3,2020-02-29,2020-04-26,20-Apr,2020,February;March;April,20-Apr,,Bushnell
UWSS,Site03,3,2020-04-26,2020-06-01,20-May,2020,April;May;June,20-May,,Bushnell
UWSS,Site03,3,2020-06-01,2020-07-08,20-Jun,2020,June;July,20-Jun,,Bushnell
UWSS,Site03,3,2020-07-08,2020-08-04,20-Jul,2020,July;August,20-Jul,,Bushnell
UWSS,Site03,3,2020-08-04,2020-10-11,20-Oct,2020,August;September;October,20-Oct,,Bushnell
UWSS,Site03,3,2020-10-14,2020-10-27,20-Nov,2020,October;November,20-Nov,,Bushnell
UWSS,Site03,3,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site03a,3a,2021-03-01,2021-04-23,21-Mar,2021,March;April,MarchApril2021,,Bushnell
UWSS,Site03a,3a,2021-04-23,2021-07-31,21-Jul,2021,April;May;June;July,21-Jul,,Bushnell
UWSS,Site03a,3a,2021-07-31,2021-09-01,21-Sep,2021,July;August;September,21-Sep,,Bushnell
UWSS,Site03a,3a,2021-09-01,2021-10-18,21-Oct,2021,September;October,21-Oct,,Bushnell
UWSS,Site03a,3a,2021-10-18,2022-03-30,22-Jun,2022,Oct-Mar,22-Jun,,Bushnell
UWSS,Site03a,3a,2022-06-23,2022-08-21,22-Aug,2022,June;July;August,22-Aug,,Browning
UWSS,Site03a,3a,2022-08-21,2022-10-02,22-Sep,2022,August;September;October,22-Sep,,Browning
,,,,,,,,,,
UWSS,Site04,4,2018-08-09,2018-08-24,18-Aug,2018,August,Aug 25th check,,Bushnell
UWSS,Site04,4,2018-08-28,2018-10-12,18-Sep,2018,August;September,September Check,,Bushnell
UWSS,Site04,4,2018-10-12,2018-11-27,18-Oct,2018,September;October,October November Check,,Bushnell
UWSS,Site04,4,2018-11-27,2018-12-22,18-Dec,2018,October;November;December,18-Dec,,Bushnell
UWSS,Site04,4,2018-12-24,2019-02-05,19-Jan,2019,December;January,19-Jan,,Bushnell
UWSS,Site04,4,2019-02-05,2019-03-22,19-Mar,2019,February;March,MarchandApril2019,,Bushnell
UWSS,Site04,4,NA,NA,19-Jun,2019,NA,JuneJuly2019,,Bushnell
UWSS,Site04,4,NA,NA,19-Sep,2019,NA,SeptoNov2019,,Bushnell
UWSS,Site04,4,NA,NA,19-Dec,2019,NA,19-Dec,,Bushnell
