Project.ID,Deployment.Location.ID,SiteName,Camera.Deployment.Start.Date,Camera.Deployment.End.Date,Deployment.ID,Year,Months,Folder,Problem,Camera
UWSS,Site01,1,2018-08-03,2018-08-10,Aug-18,2018,August,Aug 25th check,,Bushnell
UWSS,Site01,1,2018-08-25,2018-09-22,Sep-18,2018,September,September Check,,Bushnell
UWSS,Site01,1,2018-09-22,2018-10-28,Oct-18,2018,September;October,October November Check,,Bushnell
UWSS,Site01,1,2018-10-28,2018-12-24,Dec-18,2018,October;November;December,Dec-18,,Bushnell
UWSS,Site01,1,2018-12-24,2019-01-27,Jan-19,2019,December;January,Jan-19,,Bushnell
UWSS,Site01,1,2019-01-27,2019-03-30,Mar-19,2019,January;February;March,MarchandApril2019,,Bushnell
UWSS,Site01,1,2019-03-30,2019-05-10,Jun-19,2019,March;April;May;June,JuneJuly2019,,Bushnell
UWSS,Site01,1,NA,NA,Sep-19,2019,June;July;August;September,SeptoNov2019,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,Dec-19,2019,September;October;November,Dec-19,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,Jan-20,2020,December;January,Jan-20,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,Feb-20,2020,January;February,Feb-20,Camera angle off,Bushnell
UWSS,Site01,1,2020-02-29,2020-04-26,Apr-20,2020,February;March;April,Apr-20,,Bushnell
UWSS,Site01,1,2020-04-26,2020-05-30,May-20,2020,April;May,May-20,,Bushnell
UWSS,Site01,1,2020-05-30,2020-07-08,Jun-20,2020,May;June;July,Jun-20,,Bushnell
UWSS,Site01,1,2020-07-08,2020-08-04,Jul-20,2020,July;August,Jul-20,,Bushnell
UWSS,Site01,1,2020-08-04,2020-10-14,Oct-20,2020,August;September;October,Oct-20,,Bushnell
UWSS,Site01,1,2020-10-14,2020-11-27,Nov-20,2020,October;November,Nov-Dec 2020,,Bushnell
UWSS,Site01,1,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site01,1,2021-01-21,2021-04-23,Mar-21,2021,January;February;March;April,MarchApril2021,,Bushnell
UWSS,Site01,1,2021-04-23,2021-05-12,Jul-21,2021,April;May,Jul-21,,Bushnell
UWSS,Site01,1,2021-07-31,2021-09-01,Sep-21,2021,July;August;September,Sep-21,,Bushnell
UWSS,Site01,1,2021-09-01,2021-10-18,Oct-21,2021,September;October,Oct-21,,Bushnell
UWSS,Site01,1,2021-10-18,2022-05-28,Jun-22,2022,Oct-May,Jun-22,,Bushnell
UWSS,Site01,1,2022-06-23,2022-08-21,Aug-22,2022,June; July; August,Aug-22,,Bushnell
UWSS,Site01,1,2022-08-21,2022-09-15,Sep-22,2022,August;September,Sep-22,Bad camera,Bushnell
,,,,,,,,,,
UWSS,Site02,2,2018-07-31,2018-08-15,Aug-18,2018,July;August,Aug 25th check,,Bushnell
UWSS,Site02,2,2018-08-26,2018-09-17,Sep-18,2018,August;September,September Check,,Bushnell
UWSS,Site02,2,2018-09-22,2018-10-16,Oct-18,2018,September;October,October November Check,,Bushnell
UWSS,Site02,2,2018-10-28,2018-12-24,Dec-18,2018,October;November;December,Dec-18,,Bushnell
UWSS,Site02,2,2018-12-24,2019-01-27,Jan-19,2019,December;January,Jan-19,,Bushnell
UWSS,Site02,2,2019-01-27,2019-02-25,Mar-19,2019,January;February,MarchandApril2019,,Bushnell
UWSS,Site02,2,2019-03-30,2019-06-14,Jun-19,2019,March;April;June,JuneJuly2019,,Bushnell
UWSS,Site02,2,2019-06-30,2019-08-15,Sep-19,2019,June;July;August,SeptoNov2019,,Bushnell
UWSS,Site02,2,2019-09-15,2019-11-13,Dec-19,2019,September;October;November,Dec-19,,Bushnell
UWSS,Site02,2,2019-12-29,2020-01-25,Jan-20,2020,December;January,Jan-20,,Bushnell
UWSS,Site02,2,2020-01-25,2020-02-29,Feb-20,2020,January;February,Feb-20,,Bushnell
UWSS,Site02,2,2020-02-29,2020-04-12,Apr-20,2020,February;March;April,Apr-20,,Bushnell
UWSS,Site02,2,2020-04-26,2020-05-27,May-20,2020,April;May,May-20,,Bushnell
UWSS,Site02,2,2020-05-30,2020-06-29,Jun-20,2020,May;June,Jun-20,,Bushnell
