Project.ID,Deployment.Location.ID,SiteName,Camera.Deployment.Start.Date,Camera.Deployment.End.Date,Deployment.ID,Year,Months,Folder,Problem,Camera
UWSS,Site01,1,2018-08-03,2018-08-10,Aug2018,2018,August,Aug 25th check,,Bushnell
UWSS,Site01,1,2018-08-25,2018-09-22,Sep2018,2018,September,September Check,,Bushnell
UWSS,Site01,1,2018-09-22,2018-10-28,Oct2018,2018,September;October,October November Check,,Bushnell
UWSS,Site01,1,2018-10-28,2018-12-24,Dec2018,2018,October;November;December,December2018,,Bushnell
UWSS,Site01,1,2018-12-24,2019-01-27,Jan2019,2019,December;January,January2019,,Bushnell
UWSS,Site01,1,2019-01-27,2019-03-30,Mar2019,2019,January;February;March,MarchandApril2019,,Bushnell
UWSS,Site01,1,2019-03-30,2019-05-10,Jun2019,2019,March;April;May;June,JuneJuly2019,,Bushnell
UWSS,Site01,1,NA,NA,Sep2019,2019,June;July;August;September,SeptoNov2019,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,Dec2019,2019,September;October;November,December 2019,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,Jan2020,2020,December;January,January 2020,Camera angle off,Bushnell
UWSS,Site01,1,NA,NA,Feb2020,2020,January;February,February 2020,Camera angle off,Bushnell
UWSS,Site01,1,2020-02-29,2020-04-26,Apr2020,2020,February;March;April,April 2020,,Bushnell
UWSS,Site01,1,2020-04-26,2020-05-30,May2020,2020,April;May,May 2020,,Bushnell
UWSS,Site01,1,2020-05-30,2020-07-08,Jun2020,2020,May;June;July,June 2020,,Bushnell
UWSS,Site01,1,2020-07-08,2020-08-04,Jul2020,2020,July;August,July 2020,,Bushnell
UWSS,Site01,1,2020-08-04,2020-10-14,Oct2020,2020,August;September;October,October 2020,,Bushnell
UWSS,Site01,1,2020-10-14,2020-11-27,Nov2020,2020,October;November,Nov-Dec 2020,,Bushnell
UWSS,Site01,1,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site01,1,2021-01-21,2021-04-23,Mar2021,2021,January;February;March;April,MarchApril2021,,Bushnell
UWSS,Site01,1,2021-04-23,2021-05-12,Jul2021,2021,April;May,July 2021,,Bushnell
UWSS,Site01,1,2021-07-31,2021-09-01,Sep2021,2021,July;August;September,September 2021,,Bushnell
UWSS,Site01,1,2021-09-01,2021-10-18,Oct2021,2021,September;October,October 2021,,Bushnell
UWSS,Site01,1,2021-10-18,2022-05-28,Jun2022,2022,Oct-May,June2022,,Bushnell
UWSS,Site01,1,2022-06-23,2022-08-21,Aug2022,2022,June; July; August,August2022,,Bushnell
UWSS,Site01,1,2022-08-21,2022-09-15,Sep2022,2022,August;September,September2022,Bad camera,Bushnell
,,,,,,,,,,
UWSS,Site02,2,2018-07-31,2018-08-15,Aug2018,2018,July;August,Aug 25th check,,Bushnell
UWSS,Site02,2,2018-08-26,2018-09-17,Sep2018,2018,August;September,September Check,,Bushnell
UWSS,Site02,2,2018-09-22,2018-10-16,Oct2018,2018,September;October,October November Check,,Bushnell
UWSS,Site02,2,2018-10-28,2018-12-24,Dec2018,2018,October;November;December,December2018,,Bushnell
UWSS,Site02,2,2018-12-24,2019-01-27,Jan2019,2019,December;January,January2019,,Bushnell
UWSS,Site02,2,2019-01-27,2019-02-25,Mar2019,2019,January;February,MarchandApril2019,,Bushnell
UWSS,Site02,2,2019-03-30,2019-06-14,Jun2019,2019,March;April;June,JuneJuly2019,,Bushnell
UWSS,Site02,2,2019-06-30,2019-08-15,Sep2019,2019,June;July;August,SeptoNov2019,,Bushnell
UWSS,Site02,2,2019-09-15,2019-11-13,Dec2019,2019,September;October;November,December 2019,,Bushnell
UWSS,Site02,2,2019-12-29,2020-01-25,Jan2020,2020,December;January,January 2020,,Bushnell
UWSS,Site02,2,2020-01-25,2020-02-29,Feb2020,2020,January;February,February 2020,,Bushnell
UWSS,Site02,2,2020-02-29,2020-04-12,Apr2020,2020,February;March;April,April 2020,,Bushnell
UWSS,Site02,2,2020-04-26,2020-05-27,May2020,2020,April;May,May 2020,,Bushnell
UWSS,Site02,2,2020-05-30,2020-06-29,Jun2020,2020,May;June,June 2020,,Bushnell
UWSS,Site02,2,2020-07-08,2020-08-04,Jul2020,2020,July;August,July 2020,,Bushnell
UWSS,Site02,2,2020-08-04,2020-08-12,Oct2020,2020,August,October 2020,,Bushnell
UWSS,Site02,2,2020-10-14,2020-10-27,Nov2020,2020,October;November,November 2020,,Bushnell
UWSS,Site02,2,NA,NA,NA,NA,NA,NA,Stolen,Bushnell
UWSS,Site02a,2a,2021-01-22,2021-02-19,Mar2021,2021,January;February,MarchApril2021,,Bushnell
UWSS,Site02a,2a,2021-04-23,2021-07-31,Jul2021,2021,February;March;April;May;June;July,July 2021,,Bushnell
UWSS,Site02a,2a,2021-07-31,2021-09-01,Sep2021,2021,July;August;September,September 2021,,Bushnell
UWSS,Site02a,2a,2021-09-01,2021-10-18,Oct2021,2021,September;October,October 2021,,Bushnell
UWSS,Site02a,2a,2021-10-18,2022-05-24,Jun2022,2022,Oct-May,June2022,,Bushnell
UWSS,Site02a,2a,2022-06-23,2022-08-21,Aug2022,2022,June;July;August,August2022,,Bushnell
UWSS,Site02a,2a,2022-08-21,2022-10-02,Sep2022,2022,August;September; October,September2022,,Bushnell
,,,,,,,,,,
UWSS,Site03,3,2018-08-03,2018-08-25,Aug2018,2018,August,Aug 25th check,,Bushnell
UWSS,Site03,3,2018-08-25,2018-09-22,Sep2018,2018,September,September Check,,Bushnell
UWSS,Site03,3,NA,NA,Nov2018,2018,NA,October November Check,Date error,Bushnell
UWSS,Site03,3,2018-10-28,2018-12-24,Dec2018,2018,October;November;December,December2018,,Bushnell
UWSS,Site03,3,2018-12-24,2018-12-29,Jan2019,2019,December,January2019,Date error,Bushnell
UWSS,Site03,3,2018-01-27,2018-03-30,Mar2019,2019,January;March;April,MarchandApril2019,,Bushnell
UWSS,Site03,3,2019-03-30,2019-06-30,Jun2019,2019,March;April;May;June,JuneJuly2019,,Bushnell
UWSS,Site03,3,2019-06-30,2019-09-15,Sep2019,2019,June;July;August;September,SeptoNov2019,,Bushnell
UWSS,Site03,3,2019-09-15,2019-12-29,Dec2019,2019,September;October;November;December,December 2019,,Bushnell
UWSS,Site03,3,2019-12-29,2020-01-25,Jan2020,2020,December;January,January 2020,,Bushnell
