"trap.id","2018-09-01","2018-09-02","2018-09-03","2018-09-04","2018-09-05","2018-09-06","2018-09-07","2018-09-08","2018-09-09","2018-09-10","2018-09-11","2018-09-12","2018-09-13","2018-09-14","2018-09-15","2018-09-16","2018-09-17","2018-09-18","2018-09-19","2018-09-20","2018-09-21","2018-09-22","2018-09-23","2018-09-24","2018-09-25","2018-09-26","2018-09-27","2018-09-28","2018-09-29","2018-09-30"
"Site01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site02",1,1,5,1,2,3,5,5,6,4,4,5,3,5,2,3,1,0,0,0,0,3,1,1,4,2,1,4,5,3
"Site03",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Site04",2,2,3,1,5,2,1,1,3,1,1,2,2,0,2,1,0,0,1,0,2,0,0,0,0,1,1,1,0,1
"Site05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"Site06",0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Site07",4,2,3,3,3,1,3,3,2,4,3,4,0,1,3,4,5,2,6,1,2,4,6,1,3,4,4,2,1,5
"Site08",5,7,0,3,2,3,1,1,1,2,0,1,0,6,0,2,4,1,2,0,0,2,1,1,3,2,2,1,0,1
"Site09",0,0,0,0,1,0,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2
"Site11",0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"Site12",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"Site14",0,2,2,8,2,0,3,4,3,2,7,2,4,1,2,4,1,4,2,3,1,2,5,2,2,4,3,2,3,2
"Site15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Site16",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"Site17",0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Site18",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Site19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site20",2,1,2,1,1,0,2,1,3,0,1,2,0,2,0,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0
"Site22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site24",0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,0,1
"Site25",0,0,1,1,4,1,1,1,2,1,0,1,2,1,1,2,0,0,4,1,2,0,0,2,1,0,0,0,0,1
"Site26",0,1,1,1,2,0,0,1,1,1,3,0,2,0,1,2,2,1,3,2,2,0,2,2,0,3,4,0,0,0
"Site27",0,1,0,1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,0,1,1,1
"Site28",0,0,0,0,0,3,4,4,2,2,5,2,7,4,5,3,3,3,3,2,2,1,3,3,2,0,5,3,1,3
"Site29",0,5,2,5,2,3,4,1,2,0,2,4,0,0,3,3,5,2,5,1,0,5,7,5,0,3,3,6,4,3
"Site30",1,0,2,3,0,0,2,1,0,1,2,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1
"Site31",1,2,2,2,3,6,2,1,2,2,2,2,3,4,2,2,1,2,3,2,2,1,0,1,1,1,0,1,0,1
"Site32",0,3,1,3,1,1,1,2,0,1,1,1,1,2,2,3,1,5,0,1,2,2,2,2,0,1,1,0,1,3
"Site33",1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1
"Site34",7,1,3,3,3,2,2,3,0,1,0,1,1,0,0,3,1,0,1,1,0,1,0,1,1,0,1,1,1,1
"Site35",0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0
"Site36",0,3,3,2,1,2,1,0,2,1,0,0,2,2,2,0,2,2,1,0,1,2,1,3,0,0,1,2,1,1
"Site39",2,1,2,3,0,2,1,3,3,2,2,1,6,3,2,1,3,2,1,0,1,1,2,1,0,4,1,1,0,3
"Site40",0,2,1,5,1,3,1,3,4,2,3,1,2,4,4,2,2,3,4,2,3,3,2,3,2,3,0,0,3,2
