Willdife_Health_ID,RAPP_ID,Group,Capture_Location_Address,Capture_Date,Sex,Old_Wildlife_Health_ID,Old_RAPP_ID,Ear_Tag_Colour,Control2_Collar_Colour,Confirmed_Mortality,Mortality_Date,Mortality_Comments,Collar_Symbol,Additional_Comments
20-0121,0-3502,Control2,Victoria Golf Course,2020-03-09,Female,NA,NA,None,BlackWhiteStripe,,,,TopHorizontal,Margo GPS Collar
20-0122,0-3503,Control2,Victoria Golf Course,2020-03-09,Female,NA,NA,None,PinkBlackStripe,,,,BottomHorizontal,
20-0123,0-3504,Control2,Victoria Golf Course,2020-03-09,Female,NA,NA,None,Purple,,,,MiddleVertical,
20-0124,0-3505,Control2,Uplands Golf Course,2020-03-10,Female,NA,NA,None,Pink,,,,RightVertical,
20-0125,0-3506,Control2,Uplands Golf Course,2020-03-10,Female,NA,NA,None,DarkBlue,,,,T,
20-0126,0-3507,Control2,Uplands Golf Course,2020-03-12,Female,NA,NA,None,PurpleWhiteStripe,,,,MiddleHorizontal,
18-11558,0-1335,Control2,2830 Lansdowne,2020-03-14,Female,Unknown,Unknown,None,DarkGreen,,,,Backwards_L,
20-0129 ,0-3510,Control2,2040 Cottswald,2020-03-14,Female,18-11402,Unknown,None,Black,,,,LeftVertical,Margo GPS collar
20-0127,0-3508,Control2,Cranmore and monteith,2020-03-15,Female,Unknown,Unknown,None,DarkBlueBlackStripe,,,,L,
20-0128,0-3509,Control2,Cranmore and monteith,2020-03-15,Female,NA,NA,None,DarkGreenBlackStripe,TRUE,2020-06-17,broken ribs and leg on PM - Suspect hit by car,U,
20-0130,0-3511,Control2,767 St. Patrick's,2020-03-15,Female,NA,NA,None,Red,,,,UpsideDown_U,
18-12480,0-1553,Control2,middowne and westdowne,2020-03-16,Female,NA,NA,None,LightGreenBlackStripe,,,,TwoHorizontal,
20-0131,0-3523,Control2,3130 Exeter,2020-03-16,Female,NA,NA,None,LightGreen,,,,TwoVertical,
18-11401,0-2156,Control2,Cranmore Rd and Christie Way,2020-03-19,Female,Unknown,Unknown,None,RedBlackStripe,,,,Backwards_C,
20-0133,0-3516,Control2,York Place,2020-03-19,Female,NA,NA,None,OrangeWhiteStripe,TRUE,2020-09-01,Hit by car - witnessed by one of our volunteers and then later foud dead by OB public works,C,
20-0134,0-3515,Control2,77 Beach Drive,2020-03-19,Female,18-12479,0-1493,None,RedWhiteStripe,,,,ThreeVertical,
20-0135,0-3514,Control2,71 Beach Drive,2020-03-20,Female,NA,NA,None,DarkBlueWhiteStripe,,,,X ,
20-0136,0-3513,Control2,3125 Norfolk,2020-03-20,Female,Unknown,Unknown,None,MaroonBlueStripe,,,,No_Tape,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
