Willdife_Health_ID,RAPP_ID,Group,Ear_Tag_No,Capture_Location_Address,Capture_Lat,Capture_Long,Capture_Date,Sex,Ear_Tag_Colour,IC_Collar_Colour,Confirmed_Mortality,Mortality_Date,Mortality_Comments,
19-0679,0-2032,IC1,1,nottingham park ,48.44425,-123.305596,2019-09-03,Female,Yellow,Yellow,TRUE,2019-09-03,Deceased - Bloated under anesthesia,
19-0680,0-2007,IC1,2,3370 uplands,48.449537,-123.305503,2019-09-04,Female,Yellow,Blue,,,,
19-0681,0-2571,IC1,3,uplands and cotswald,48.447312,-123.307073,2019-09-05,Female,Yellow,Orange,,,,
19-0682,0-1709,IC1,4,Nottingham park,48.44425,-123.305596,2019-09-05,Female,Yellow,Black,,,,
19-0683,0-2089,IC1,5,3135 Ripon,48.44516,-123.300081,2019-09-06,Female,Yellow,Tan,TRUE,2020-10-30,"Euthanized on Oct 30, 2020 due to darting accident (hit in the neck with dart and had neuro episode. ",
19-0684,0-1408,IC1,6,Nottingham park,48.44425,-123.305596,2019-09-06,Female,Yellow,Yellow-Stripe,,,,
19-0685,0-2102,IC1,7,Henderson golf course,48.457294,-123.312002,2019-09-07,Female,Yellow,Blue-Stripe,,,,
19-0686,0-2003,IC1,8,3215 Midland Rd,48.447682,-123.3013,2019-09-06,Female,Yellow,Orange-Stripe,,,,
19-0687,0-2232,IC1,9,3255 uplands rd,48.4482,-123.306023,2019-09-07,Female,Yellow,White-Stripe,,,,
19-0688,0-0247,IC1,10,3200 Beach Dr,48.446644,-123.294433,2019-09-08,Female,Yellow,Tan-Stripe,TRUE,2020-01-02,"Euthanized on January 2, 2020 by Sgt Gaudi of oak bay police. Suspect HBC.",
19-0689,0-2585,IC1,11,Uplands golf course,48.45128,-123.309535,2019-09-04,Female,Red,Yellow,,,,
19-0690,0-1085,IC1,12,Uplands golf course,48.45128,-123.309535,2019-09-05,Female,Red,Blue,,,,
19-0691,0-1110,IC1,13,Uplands golf course,48.45128,-123.309535,2019-09-06,Female,Red,Orange,,,,
19-0692,0-2016,IC1,14,Uplands golf course,48.45128,-123.309535,2019-09-07,Female,Red,White,,,,
