File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Buck,MarkedDoe,UnmarkedDoe,Doe_UnknownifMarked,Fawn,UnknownSex,Unknown_UnknownifMarked,UnknownAgeGroup,Comments,TotalAdult,TotalFawn,Location,Classifier,Malfunction,ICDoe_2019,ControlCollar_Colour,ControlCollar_Tag,ICCollar_Colour,EarTagNumber_2019,EarTagNumber_2020,EarTagColour_2019,EarTagColour2020,ICDoe_2020,Multi_Marked_Comments,TotalMarked
10080338.JPG,,Site 3,08-Oct-19,9:03:32,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10080339.JPG,,Site 3,08-Oct-19,9:03:33,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10080340.JPG,,Site 3,08-Oct-19,9:03:34,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090341.JPG,,Site 3,09-Oct-19,4:17:26,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090342.JPG,,Site 3,09-Oct-19,4:17:26,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090343.JPG,,Site 3,09-Oct-19,4:17:27,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090344.JPG,,Site 3,09-Oct-19,4:17:46,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090345.JPG,,Site 3,09-Oct-19,4:17:47,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090346.JPG,,Site 3,09-Oct-19,4:17:47,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090347.JPG,,Site 3,09-Oct-19,4:37:46,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090348.JPG,,Site 3,09-Oct-19,4:37:47,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090349.JPG,,Site 3,09-Oct-19,4:37:48,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090350.JPG,,Site 3,09-Oct-19,4:37:58,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090351.JPG,,Site 3,09-Oct-19,4:37:58,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090352.JPG,,Site 3,09-Oct-19,4:37:59,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090353.JPG,,Site 3,09-Oct-19,4:39:36,Ok,FALSE,0,0,0,1,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090354.JPG,,Site 3,09-Oct-19,4:39:36,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090355.JPG,,Site 3,09-Oct-19,4:39:37,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090356.JPG,,Site 3,09-Oct-19,4:41:19,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090357.JPG,,Site 3,09-Oct-19,4:41:20,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090358.JPG,,Site 3,09-Oct-19,4:41:21,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090359.JPG,,Site 3,09-Oct-19,8:43:26,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090360.JPG,,Site 3,09-Oct-19,8:43:26,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090361.JPG,,Site 3,09-Oct-19,8:43:27,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090362.JPG,,Site 3,09-Oct-19,8:59:07,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090363.JPG,,Site 3,09-Oct-19,8:59:08,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090364.JPG,,Site 3,09-Oct-19,8:59:09,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090365.JPG,,Site 3,09-Oct-19,9:58:17,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090366.JPG,,Site 3,09-Oct-19,9:58:18,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090367.JPG,,Site 3,09-Oct-19,9:58:19,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090368.JPG,,Site 3,09-Oct-19,10:00:28,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090369.JPG,,Site 3,09-Oct-19,10:00:29,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090370.JPG,,Site 3,09-Oct-19,10:00:30,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090371.JPG,,Site 3,09-Oct-19,15:05:50,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090372.JPG,,Site 3,09-Oct-19,15:05:50,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090373.JPG,,Site 3,09-Oct-19,15:05:51,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090374.JPG,,Site 3,09-Oct-19,15:27:24,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090375.JPG,,Site 3,09-Oct-19,15:27:25,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10090376.JPG,,Site 3,09-Oct-19,15:27:26,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100377.JPG,,Site 3,10-Oct-19,0:56:50,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100378.JPG,,Site 3,10-Oct-19,0:56:51,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100379.JPG,,Site 3,10-Oct-19,0:56:52,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100380.JPG,,Site 3,10-Oct-19,2:42:32,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100381.JPG,,Site 3,10-Oct-19,2:42:33,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100382.JPG,,Site 3,10-Oct-19,2:42:34,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100383.JPG,,Site 3,10-Oct-19,2:42:44,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100384.JPG,,Site 3,10-Oct-19,2:42:45,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100385.JPG,,Site 3,10-Oct-19,2:42:46,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100386.JPG,,Site 3,10-Oct-19,2:42:56,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100387.JPG,,Site 3,10-Oct-19,2:42:57,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100388.JPG,,Site 3,10-Oct-19,2:42:58,Ok,FALSE,1,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100389.JPG,,Site 3,10-Oct-19,3:03:32,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100390.JPG,,Site 3,10-Oct-19,3:03:33,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100391.JPG,,Site 3,10-Oct-19,3:03:34,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100392.JPG,,Site 3,10-Oct-19,3:04:00,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100393.JPG,,Site 3,10-Oct-19,3:04:01,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100394.JPG,,Site 3,10-Oct-19,3:04:02,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100395.JPG,,Site 3,10-Oct-19,14:50:01,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100396.JPG,,Site 3,10-Oct-19,14:50:02,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100397.JPG,,Site 3,10-Oct-19,14:50:03,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100398.JPG,,Site 3,10-Oct-19,17:15:51,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100399.JPG,,Site 3,10-Oct-19,17:15:51,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100400.JPG,,Site 3,10-Oct-19,17:16:06,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100401.JPG,,Site 3,10-Oct-19,17:16:06,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100402.JPG,,Site 3,10-Oct-19,17:16:07,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
10100403.JPG,,Site 3,10-Oct-19,17:17:06,Ok,FALSE,0,0,0,0,0,0,0,0,,,,Site3,KB,FALSE,0,,,,,,,,0,,
