"session","WHID_all","date","SiteID"
"Oakbay2020","['20-0134']",2020-11-05,"Site02"
"Oakbay2020","['20-0130']",2020-10-15,"Site06"
"Oakbay2020","['20-0130']",2020-10-17,"Site06"
"Oakbay2020","['20-0130']",2020-10-25,"Site06"
"Oakbay2020","['20-0130']",2020-11-03,"Site06"
"Oakbay2020","['20-0130']",2020-11-06,"Site06"
"Oakbay2020","['19-0722']",2020-10-14,"Site07"
"Oakbay2020","['19-0722']",2020-10-14,"Site07"
"Oakbay2020","['19-0724']",2020-10-15,"Site07"
"Oakbay2020","['19-0722']",2020-10-17,"Site07"
"Oakbay2020","['19-0722']",2020-10-17,"Site07"
"Oakbay2020","['19-0724']",2020-10-17,"Site07"
"Oakbay2020","['19-0724']",2020-10-17,"Site07"
"Oakbay2020","['19-0724']",2020-10-19,"Site07"
"Oakbay2020","['19-0724']",2020-10-20,"Site07"
"Oakbay2020","['19-0724']",2020-10-20,"Site07"
"Oakbay2020","['19-0722']",2020-10-26,"Site07"
"Oakbay2020","['19-0722']",2020-10-26,"Site07"
"Oakbay2020","['19-0722']",2020-10-26,"Site07"
"Oakbay2020","['19-0722']",2020-10-27,"Site07"
"Oakbay2020","['19-0724']",2020-10-27,"Site07"
"Oakbay2020","['19-0724']",2020-10-27,"Site07"
"Oakbay2020","['19-0722']",2020-10-28,"Site07"
"Oakbay2020","['19-0722']",2020-10-30,"Site07"
"Oakbay2020","['19-0724']",2020-10-30,"Site07"
"Oakbay2020","['19-0722']",2020-10-31,"Site07"
"Oakbay2020","['19-0724']",2020-10-31,"Site07"
"Oakbay2020","['19-0724']",2020-10-31,"Site07"
"Oakbay2020","['19-0715']",2020-11-01,"Site07"
"Oakbay2020","['19-0715']",2020-11-01,"Site07"
"Oakbay2020","['19-0724']",2020-11-01,"Site07"
"Oakbay2020","['19-0715']",2020-11-02,"Site07"
"Oakbay2020","['19-0724']",2020-11-02,"Site07"
"Oakbay2020","['19-0724']",2020-11-02,"Site07"
"Oakbay2020","['19-0724']",2020-11-03,"Site07"
"Oakbay2020","['19-0724']",2020-11-04,"Site07"
"Oakbay2020","['19-0722']",2020-11-06,"Site07"
"Oakbay2020","['19-0724']",2020-11-06,"Site07"
"Oakbay2020","['18-11401']",2020-10-19,"Site08a"
"Oakbay2020","['20-0122']",2020-10-19,"Site08a"
"Oakbay2020","['20-0122']",2020-10-21,"Site08a"
"Oakbay2020","['20-0122']",2020-10-21,"Site08a"
"Oakbay2020","['20-0122']",2020-10-21,"Site08a"
"Oakbay2020","['20-0122']",2020-11-01,"Site08a"
"Oakbay2020","['19-0714']",2020-11-06,"Site08a"
"Oakbay2020","['19-0704']",2020-10-08,"Site10"
"Oakbay2020","['19-0704']",2020-10-08,"Site10"
"Oakbay2020","['20-0127']",2020-10-10,"Site10"
"Oakbay2020","['20-0127']",2020-10-12,"Site10"
"Oakbay2020","['19-0706']",2020-10-18,"Site11"
"Oakbay2020","['19-0706']",2020-10-23,"Site11"
"Oakbay2020","['19-0706']",2020-10-23,"Site11"
"Oakbay2020","['19-0706']",2020-10-23,"Site11"
"Oakbay2020","['19-0706']",2020-10-25,"Site11"
"Oakbay2020","['19-0706']",2020-10-28,"Site11"
"Oakbay2020","['19-0706']",2020-10-13,"Site14"
"Oakbay2020","['19-0706']",2020-10-14,"Site14"
"Oakbay2020","['19-0706']",2020-10-14,"Site14"
"Oakbay2020","['19-0706']",2020-10-15,"Site14"
"Oakbay2020","['19-0706']",2020-10-17,"Site14"
"Oakbay2020","['19-0706']",2020-10-25,"Site14"
"Oakbay2020","['19-0706']",2020-10-28,"Site14"
"Oakbay2020","['19-0706']",2020-10-29,"Site14"
"Oakbay2020","['19-0706']",2020-10-29,"Site14"
"Oakbay2020","['19-0706']",2020-10-29,"Site14"
"Oakbay2020","['19-0706']",2020-10-29,"Site14"
"Oakbay2020","['18-11401']",2020-10-16,"Site17"
"Oakbay2020","['18-11401']",2020-10-28,"Site17"
"Oakbay2020","['19-0704']",2020-10-11,"Site18"
"Oakbay2020","['20-0127']",2020-10-31,"Site18"
"Oakbay2020","['19-0704']",2020-11-02,"Site18"
"Oakbay2020","['20-0127']",2020-11-06,"Site18"
"Oakbay2020","['19-0710']",2020-10-20,"Site20"
"Oakbay2020","['19-0680']",2020-10-16,"Site29"
"Oakbay2020","['20-0129 ']",2020-10-16,"Site29"
"Oakbay2020","['20-0129 ']",2020-10-17,"Site29"
"Oakbay2020","['20-0125']",2020-10-18,"Site29"
"Oakbay2020","['20-0129 ']",2020-10-18,"Site29"
"Oakbay2020","['20-0125']",2020-10-30,"Site29"
"Oakbay2020","['19-0689']",2020-11-02,"Site31"
"Oakbay2020","['19-0689']",2020-10-18,"Site32"
"Oakbay2020","['19-0693']",2020-10-22,"Site32"
"Oakbay2020","['19-0689']",2020-10-23,"Site32"
"Oakbay2020","['19-0693']",2020-10-25,"Site32"
"Oakbay2020","['19-0693']",2020-10-30,"Site32"
"Oakbay2020","['19-0693']",2020-10-30,"Site32"
"Oakbay2020","['19-0694']",2020-10-10,"Site33"
"Oakbay2020","['19-0694']",2020-10-12,"Site33"
"Oakbay2020","['19-0694']",2020-10-14,"Site33"
"Oakbay2020","['19-0694']",2020-10-16,"Site33"
"Oakbay2020","['19-0686']",2020-10-29,"Site34"
"Oakbay2020","['19-0686']",2020-10-30,"Site34"
"Oakbay2020","['19-0686']",2020-10-30,"Site34"
"Oakbay2020","['19-0686']",2020-10-30,"Site34"
"Oakbay2020","['19-0686']",2020-10-31,"Site34"
"Oakbay2020","['19-0686']",2020-11-04,"Site34"
"Oakbay2020","['19-0686']",2020-11-05,"Site34"
"Oakbay2020","['19-0686']",2020-11-06,"Site34"
"Oakbay2020","['19-0686']",2020-11-07,"Site34"
"Oakbay2020","['19-0693']",2020-11-03,"Site38"
"Oakbay2020","['20-0122']",2020-10-31,"Site40a"
