"session","WHID_all","date","SiteID"
"Oakbay2018","['18-11395']",2018-09-01,"Site07"
"Oakbay2018","['18-11395']",2018-09-04,"Site07"
"Oakbay2018","['18-11395']",2018-09-05,"Site07"
"Oakbay2018","['18-11395']",2018-09-05,"Site07"
"Oakbay2018","['18-11395']",2018-09-06,"Site07"
"Oakbay2018","['18-11395']",2018-09-07,"Site07"
"Oakbay2018","['18-11395']",2018-09-08,"Site07"
"Oakbay2018","['18-11395']",2018-09-10,"Site07"
"Oakbay2018","['18-11395']",2018-09-11,"Site07"
"Oakbay2018","['18-11395']",2018-09-11,"Site07"
"Oakbay2018","['18-11395']",2018-09-13,"Site07"
"Oakbay2018","['18-11395']",2018-09-14,"Site07"
"Oakbay2018","['18-11395']",2018-09-15,"Site07"
"Oakbay2018","['18-11395']",2018-09-16,"Site07"
"Oakbay2018","['18-11395']",2018-09-18,"Site07"
"Oakbay2018","['18-11395']",2018-09-19,"Site07"
"Oakbay2018","['18-11395']",2018-09-19,"Site07"
"Oakbay2018","['18-11395']",2018-09-21,"Site07"
"Oakbay2018","['18-11395']",2018-09-22,"Site07"
"Oakbay2018","['18-11395']",2018-09-22,"Site07"
"Oakbay2018","['18-11395']",2018-09-27,"Site07"
"Oakbay2018","['18-11395']",2018-09-09,"Site08"
"Oakbay2018","['18-11401']",2018-09-09,"Site17"
"Oakbay2018","['18-11556']",2018-09-04,"Site18"
"Oakbay2018","['18-11388']",2018-09-07,"Site26"
"Oakbay2018","['18-11387']",2018-09-16,"Site26"
"Oakbay2018","['18-11387']",2018-09-16,"Site26"
"Oakbay2018","['18-11388']",2018-09-18,"Site26"
"Oakbay2018","['18-11388']",2018-09-24,"Site26"
"Oakbay2018","['18-11387']",2018-09-27,"Site26"
"Oakbay2018","['18-11403']",2018-09-26,"Site28"
"Oakbay2018","['18-11559']",2018-09-16,"Site29"
"Oakbay2018","['18-11559']",2018-09-16,"Site29"
"Oakbay2018","['18-11559']",2018-09-24,"Site29"
"Oakbay2018","['18-11560']",2018-09-11,"Site30"
"Oakbay2018","['18-11558']",2018-09-01,"Site34"
"Oakbay2018","['18-11558']",2018-09-03,"Site34"
"Oakbay2018","['18-11558']",2018-09-04,"Site34"
"Oakbay2018","['18-11558']",2018-09-05,"Site34"
"Oakbay2018","['18-11558']",2018-09-07,"Site34"
"Oakbay2018","['18-11558']",2018-09-07,"Site34"
"Oakbay2018","['18-11558']",2018-09-10,"Site34"
"Oakbay2018","['18-11558']",2018-09-10,"Site34"
"Oakbay2018","['18-11558']",2018-09-12,"Site34"
"Oakbay2018","['18-11558']",2018-09-15,"Site34"
"Oakbay2018","['18-11558']",2018-09-17,"Site34"
"Oakbay2018","['18-11558']",2018-09-18,"Site34"
"Oakbay2018","['18-11558']",2018-09-23,"Site34"
"Oakbay2018","['18-11558']",2018-09-28,"Site34"
"Oakbay2018","['18-11405']",2018-09-08,"Site40"
