"session","WHID_all","date","SiteID"
"Oakbay2023","['20-0688']",2023-09-20,"Site01"
"Oakbay2023","['20-0692']",2023-09-03,"Site02a"
"Oakbay2023","['20-0691']",2023-09-13,"Site02a"
"Oakbay2023","['20-0691']",2023-09-13,"Site02a"
"Oakbay2023","['20-0696']",2023-09-16,"Site02a"
"Oakbay2023","['19-0706']",2023-09-01,"Site06"
"Oakbay2023","['19-0715']",2023-09-03,"Site07a"
"Oakbay2023","['20-0130']",2023-09-07,"Site07a"
"Oakbay2023","['20-0690']",2023-09-02,"Site08a"
"Oakbay2023","['20-0676']",2023-09-03,"Site08a"
"Oakbay2023","['19-0712']",2023-09-04,"Site08a"
"Oakbay2023","['20-0676']",2023-09-07,"Site08a"
"Oakbay2023","['19-0712']",2023-09-11,"Site08a"
"Oakbay2023","['20-0702']",2023-09-25,"Site08a"
"Oakbay2023","['19-0699']",2023-09-01,"Site10b"
"Oakbay2023","['19-0699']",2023-09-03,"Site10b"
"Oakbay2023","['19-0698']",2023-09-07,"Site10b"
"Oakbay2023","['19-0699']",2023-09-09,"Site10b"
"Oakbay2023","['19-0699']",2023-09-09,"Site10b"
"Oakbay2023","['19-0699']",2023-09-12,"Site10b"
"Oakbay2023","['19-0699']",2023-09-14,"Site10b"
"Oakbay2023","['19-0699']",2023-09-14,"Site10b"
"Oakbay2023","['19-0699']",2023-09-14,"Site10b"
"Oakbay2023","['19-0698']",2023-09-15,"Site10b"
"Oakbay2023","['19-0701']",2023-09-15,"Site10b"
"Oakbay2023","['19-0699']",2023-09-16,"Site10b"
"Oakbay2023","['19-0699']",2023-09-17,"Site10b"
"Oakbay2023","['19-0699']",2023-09-20,"Site10b"
"Oakbay2023","['19-0699']",2023-09-20,"Site10b"
"Oakbay2023","['19-0699']",2023-09-25,"Site10b"
"Oakbay2023","['19-0699']",2023-09-25,"Site10b"
"Oakbay2023","['19-0699']",2023-09-26,"Site10b"
"Oakbay2023","['19-0699']",2023-09-27,"Site10b"
"Oakbay2023","['19-0699']",2023-09-01,"Site11"
"Oakbay2023","['19-0699']",2023-09-02,"Site11"
"Oakbay2023","['19-0706']",2023-09-03,"Site11"
"Oakbay2023","['19-0706']",2023-09-03,"Site11"
"Oakbay2023","['19-0706']",2023-09-03,"Site11"
"Oakbay2023","['19-0699']",2023-09-11,"Site11"
"Oakbay2023","['19-0699']",2023-09-15,"Site11"
"Oakbay2023","['19-0706']",2023-09-28,"Site11"
"Oakbay2023","['20-0715']",2023-09-28,"Site11"
"Oakbay2023","['19-0712']",2023-09-13,"Site12b"
"Oakbay2023","['19-0708']",2023-09-09,"Site13"
"Oakbay2023","['20-0673']",2023-09-10,"Site17"
"Oakbay2023","['20-0673']",2023-09-15,"Site17"
"Oakbay2023","['20-0706']",2023-09-19,"Site20a"
"Oakbay2023","['20-0706']",2023-09-19,"Site20a"
"Oakbay2023","['20-0684']",2023-09-13,"Site21a"
"Oakbay2023","['19-0719']",2023-09-01,"Site24a"
"Oakbay2023","['20-0706']",2023-09-01,"Site24a"
"Oakbay2023","['20-0725']",2023-09-04,"Site24a"
"Oakbay2023","['19-0719']",2023-09-09,"Site24a"
"Oakbay2023","['19-0719']",2023-09-09,"Site24a"
"Oakbay2023","['19-0719']",2023-09-09,"Site24a"
"Oakbay2023","['19-0719']",2023-09-09,"Site24a"
"Oakbay2023","['20-0706']",2023-09-09,"Site24a"
"Oakbay2023","['19-0719']",2023-09-12,"Site24a"
"Oakbay2023","['20-0725']",2023-09-13,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-14,"Site24a"
"Oakbay2023","['20-0706']",2023-09-14,"Site24a"
"Oakbay2023","['20-0706']",2023-09-14,"Site24a"
"Oakbay2023","['19-0719']",2023-09-16,"Site24a"
"Oakbay2023","['20-0706']",2023-09-16,"Site24a"
"Oakbay2023","['20-0725']",2023-09-16,"Site24a"
"Oakbay2023","['19-0719']",2023-09-17,"Site24a"
"Oakbay2023","['20-0706']",2023-09-17,"Site24a"
"Oakbay2023","['20-0706']",2023-09-17,"Site24a"
"Oakbay2023","['20-0725']",2023-09-17,"Site24a"
"Oakbay2023","['20-0725']",2023-09-18,"Site24a"
"Oakbay2023","['20-0725']",2023-09-19,"Site24a"
