"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","SiteID"
"1","2021-09-02","10:27:26",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:27:26,"Site10a"
"2","2021-09-02","10:27:27",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:27:27,"Site10a"
"3","2021-09-02","10:27:28",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:27:28,"Site10a"
"4","2021-09-02","10:27:43",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:27:43,"Site10a"
"5","2021-09-02","10:27:44",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:27:44,"Site10a"
"6","2021-09-02","10:27:45",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:27:45,"Site10a"
"7","2021-09-02","10:28:24",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:24,"Site10a"
"8","2021-09-02","10:28:25",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:25,"Site10a"
"9","2021-09-02","10:28:26",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:26,"Site10a"
"10","2021-09-02","10:28:43",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:43,"Site10a"
"11","2021-09-02","10:28:43",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:43,"Site10a"
"12","2021-09-02","10:28:44",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:44,"Site10a"
"13","2021-09-02","10:28:54",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:54,"Site10a"
"14","2021-09-02","10:28:55",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:55,"Site10a"
"15","2021-09-02","10:28:56",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:28:56,"Site10a"
"16","2021-09-02","10:29:07",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:29:07,"Site10a"
"17","2021-09-02","10:29:08",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:29:08,"Site10a"
"18","2021-09-02","10:29:08",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",1,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:29:08,"Site10a"
"19","2021-09-02","10:38:43",0,0,0,0,0,0,0,0,"",NA,NA,"site10a",0,"","","yellow-stripe","26","nan","blue","",0,"",NA,"['19-0704']",2021,2021-09-02 10:38:43,"Site10a"
"20","2021-09-02","15:53:58",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","yellow","21","nan","blue","",0,"",NA,"['19-0699']",2021,2021-09-02 15:53:58,"Site11"
"21","2021-09-02","15:53:58",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","yellow","21","nan","blue","",0,"",NA,"['19-0699']",2021,2021-09-02 15:53:58,"Site11"
"22","2021-09-02","15:53:59",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","yellow","21","nan","blue","",0,"",NA,"['19-0699']",2021,2021-09-02 15:53:59,"Site11"
"23","2021-09-02","16:20:19",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","yellow","21","nan","blue","",0,"",NA,"['19-0699']",2021,2021-09-02 16:20:19,"Site11"
"24","2021-09-02","16:20:20",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","yellow","21","nan","blue","",0,"",NA,"['19-0699']",2021,2021-09-02 16:20:20,"Site11"
"25","2021-09-02","16:20:21",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","yellow","21","nan","blue","",0,"",NA,"['19-0699']",2021,2021-09-02 16:20:21,"Site11"
"26","2021-09-09","14:21:45",1,0,0,0,0,0,0,0,"",2,NA,"site11",0,"","","","nan","111","","green",1,"",NA,"['20-0716']",2021,2021-09-09 14:21:45,"Site11"
"27","2021-09-09","14:21:46",1,0,0,0,0,0,0,0,"",2,NA,"site11",0,"","","","nan","111","","green",1,"",NA,"['20-0716']",2021,2021-09-09 14:21:46,"Site11"
"28","2021-09-09","14:21:47",1,0,0,0,0,0,0,0,"",2,NA,"site11",0,"","","","nan","111","","green",1,"",NA,"['20-0716']",2021,2021-09-09 14:21:47,"Site11"
"29","2021-09-10","3:08:23",1,0,0,0,0,0,0,0,"",2,NA,"site11",0,"","","","nan","111","","green",1,"",NA,"['20-0716']",2021,2021-09-10 03:08:23,"Site11"
"30","2021-09-10","3:08:24",1,0,0,0,0,0,0,0,"",2,NA,"site11",0,"","","","nan","111","","green",1,"",NA,"['20-0716']",2021,2021-09-10 03:08:24,"Site11"
"31","2021-09-10","3:08:25",1,0,0,0,0,0,0,0,"",2,NA,"site11",0,"","","","nan","111","","green",1,"",NA,"['20-0716']",2021,2021-09-10 03:08:25,"Site11"
"32","2021-09-10","10:14:44",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","orange-stripe","28","nan","blue","",0,"",NA,"['19-0706']",2021,2021-09-10 10:14:44,"Site11"
"33","2021-09-10","10:14:45",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","orange-stripe","28","nan","blue","",0,"",NA,"['19-0706']",2021,2021-09-10 10:14:45,"Site11"
"34","2021-09-10","10:14:46",0,0,0,0,0,0,0,0,"",NA,NA,"site11",1,"","","orange-stripe","28","nan","blue","",0,"",NA,"['19-0706']",2021,2021-09-10 10:14:46,"Site11"
"35","2021-09-03","8:29:57",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:29:57,"Site17"
"36","2021-09-03","8:29:57",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:29:57,"Site17"
"37","2021-09-03","8:31:16",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:31:16,"Site17"
"38","2021-09-03","8:31:16",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:31:16,"Site17"
"39","2021-09-03","8:31:16",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:31:16,"Site17"
"40","2021-09-03","8:34:39",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:34:39,"Site17"
"41","2021-09-03","8:34:39",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:34:39,"Site17"
"42","2021-09-03","8:34:39",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:34:39,"Site17"
"43","2021-09-03","8:38:30",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:30,"Site17"
"44","2021-09-03","8:38:30",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:30,"Site17"
"45","2021-09-03","8:38:30",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:30,"Site17"
"46","2021-09-03","8:38:42",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:42,"Site17"
"47","2021-09-03","8:38:42",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:42,"Site17"
"48","2021-09-03","8:38:42",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:42,"Site17"
"49","2021-09-03","8:38:54",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:54,"Site17"
"50","2021-09-03","8:38:54",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:54,"Site17"
"51","2021-09-03","8:38:54",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:38:54,"Site17"
"52","2021-09-03","8:39:06",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:06,"Site17"
"53","2021-09-03","8:39:06",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:06,"Site17"
"54","2021-09-03","8:39:07",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:07,"Site17"
"55","2021-09-03","8:39:21",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:21,"Site17"
"56","2021-09-03","8:39:21",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:21,"Site17"
"57","2021-09-03","8:39:21",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:21,"Site17"
"58","2021-09-03","8:39:33",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:33,"Site17"
"59","2021-09-03","8:39:33",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:33,"Site17"
"60","2021-09-03","8:39:33",0,1,1,0,0,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:33,"Site17"
"61","2021-09-03","8:39:47",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:47,"Site17"
"62","2021-09-03","8:39:47",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:47,"Site17"
"63","2021-09-03","8:39:47",0,1,1,0,1,0,0,0,"",2,NA,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:47,"Site17"
"64","2021-09-03","8:39:59",0,1,1,0,2,0,0,0,"",2,2,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:59,"Site17"
"65","2021-09-03","8:39:59",0,1,1,0,2,0,0,0,"",2,2,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:59,"Site17"
"66","2021-09-03","8:39:59",0,1,1,0,2,0,0,0,"",2,2,"site17",0,"redblackstripe","backwardsc","","nan","nan","","",0,"",NA,"['18-11401']",2021,2021-09-03 08:39:59,"Site17"
