"","year","detection_type","n_dets","total_dets","proportion"
"1",2018,"adult_only",567,1159,0.489214840379638
"2",2018,"fawns_present",592,1159,0.510785159620362
"3",2019,"adult_only",568,989,0.574317492416582
"4",2019,"fawns_present",421,989,0.425682507583418
"5",2020,"adult_only",558,798,0.699248120300752
"6",2020,"fawns_present",240,798,0.300751879699248
"7",2021,"adult_only",615,802,0.766832917705736
"8",2021,"fawns_present",187,802,0.233167082294264
"9",2022,"adult_only",541,937,0.577374599786553
"10",2022,"fawns_present",396,937,0.422625400213447
"11",2023,"adult_only",463,838,0.552505966587112
"12",2023,"fawns_present",375,838,0.447494033412888
