trap.id x y usage
1 476440.214529125 5362547.40419675 11111111111111111111111111111111111
2 476602.530218038 5362432.48831974 00000011111111111111111111111111111
3 477202.056897387 5362470.18462475 11110011111111111111111111111111111
4 477571.702980622 5362385.34331131 11111111100000000000000000000000000
5 476471.529873919 5362961.01998384 11111111111111111111111111111111111
6 476782.346132289 5362975.17650893 11111111111111111111111111111111111
7 477285.369713142 5362948.43702505 00000011111111111111111111111111111
8 477697.723338857 5362818.55027168 00000000111111111111111111111111111
9 476518.034335826 5363470.29057201 11111111111111111111111111111111111
10 477134.740574871 5364125.44037109 11111111000000000000000000000000000
11 477028.598878127 5363489.81195476 11111111111111111111111111111111111
12 477375.685020501 5363330.94459058 11111111111111111111111111111111111
13 476555.894150313 5363680.09488943 00000000001111111111111111111111111
14 476814.114593429 5363506.12396866 11111111111111111111110000000000000
15 476404.923083611 5364733.61617933 11111111111111111111111111111111111
16 476891.685772748 5364385.78992637 11111111111111111111111111111111111
17 477091.530154967 5364415.85508972 11111101111111111111111111111111111
18 476538.905416931 5364936.84530567 11111111111111111111111111111111111
19 476842.065382193 5364913.98333388 11111111111111111111111111111111111
20 477358.401460248 5364559.90274461 00000001111111111111111111111111111
21 476455.599990809 5363600.33073223 11111111111111111111111111111111111
22 476695.904894976 5365343.76971608 11111111111111111111111111111111111
23 477957.637859846 5365494.49638661 00000000000000000000000000000111111
24 476712.220235167 5365714.22264252 11111111111111111111111111111111111
25 477132.729056945 5365459.31971366 11111111111111111111111111111111111
26 477222.904787807 5365814.03879419 11111111111111111111111111111111111
27 478124.934502231 5365764.16667616 11111111000000000000000000000000000
28 476647.483831696 5366156.02615876 00000000000000111111111111111111111
29 476878.346618573 5366553.38811311 11111111111111111111111111111111111
30 477528.34884438 5366377.86149744 11111111111111111111111111111111111
31 477830.371239357 5366083.34198717 00000001111111111111111111111111111
32 476318.584493124 5367080.60827221 11111111111111111111111111111111111
33 476494.028348267 5366598.19850547 00000000000000111111111111111111111
34 477854.451991481 5366568.01173932 11111111111111111111111111111111111
35 477035.202986701 5366941.79662331 11111111000000000000000000000000000
36 477501.911623825 5366963.43850085 00000000000000111111111111111111111
