session id occassion trap.id
year2021 17 3 14
year2021 17 7 14
year2021 17 7 14
year2021 17 8 14
year2021 17 11 14
year2021 17 9 14
year2021 17 8 14
year2021 17 5 14
year2021 17 7 14
year2021 17 5 14
year2021 32 14 29
year2021 32 18 29
year2021 32 15 29
year2021 32 20 29
year2021 26 15 24
year2021 34 5 32
year2021 36 13 32
year2021 12 3 8
year2021 15 27 8
year2021 19 17 18
year2021 19 11 18
year2021 29 3 28
year2021 11 6 7
year2021 11 28 8
year2021 10 19 4
year2021 10 28 4
year2021 10 13 4
year2021 10 15 4
year2021 10 28 4
year2021 27 11 27
year2021 27 30 27
year2021 27 21 27
year2021 27 29 27
year2021 27 1 27
year2021 27 4 27
year2021 24 16 23
year2021 24 1 24
year2021 24 8 24
year2021 24 24 24
year2021 24 8 24
year2021 24 7 24
year2021 24 10 23
year2021 24 4 24
year2021 24 26 24
year2021 24 25 24
year2021 24 2 24
year2021 24 11 24
year2021 24 30 24
year2021 24 3 24
year2021 24 18 24
year2021 24 20 24
year2021 24 28 24
year2021 24 17 24
year2021 24 5 24
year2021 24 23 24
year2021 24 30 24
year2021 24 30 24
year2021 21 16 22
year2021 21 12 22
year2021 21 12 22
year2021 21 12 22
year2021 25 7 28
year2021 25 10 24
year2021 25 9 24
year2021 25 21 24
year2021 25 5 28
year2021 25 29 28
year2021 7 3 3
year2021 7 2 3
year2021 7 9 3
year2021 2 25 1
year2021 2 6 2
year2021 2 6 1
year2021 2 29 2
year2021 3 17 2
year2021 3 11 2
year2021 3 11 2
year2021 3 6 1
year2021 3 1 2
year2021 30 23 28
year2021 30 29 28
year2021 30 8 28
year2021 35 5 32
year2021 13 9 8
year2021 13 15 8
year2021 13 9 8
year2021 13 3 8
year2021 13 3 8
year2021 28 18 27
year2021 28 18 27
year2021 28 3 27
year2021 31 29 28
year2021 18 3 17
year2021 18 1 17
year2021 5 29 1
year2021 5 13 2
year2021 5 25 1
year2021 5 27 2
year2021 5 13 2
year2021 5 22 2
year2021 4 27 2
year2021 4 17 1
year2021 14 19 8
year2021 6 11 2
year2021 6 11 2
year2021 8 28 3
year2021 8 10 7
year2021 8 13 3
year2021 22 4 23
year2021 22 4 23
year2021 22 14 23
year2021 22 24 23
year2021 22 22 23
year2021 22 9 23
year2021 22 9 23
year2021 22 24 24
year2021 20 17 18
year2021 20 17 18
year2021 20 18 18
year2021 33 3 32
year2021 33 7 32
year2021 16 14 9
year2021 16 3 9
year2021 16 22 9
year2021 16 9 11
year2021 16 10 11
year2021 1 17 1
year2021 1 2 1
year2021 9 10 4
year2021 9 10 4
year2021 9 26 4
year2021 9 25 4
year2021 9 14 4
year2021 9 19 4
year2021 9 6 4
year2021 9 24 4
year2021 9 12 4
year2021 9 13 4
year2021 9 15 4
year2021 9 12 4
year2021 9 25 4
year2021 9 12 4
year2021 9 5 4
year2021 9 28 4
year2021 9 1 7
year2021 9 30 4
year2021 23 13 23
year2021 23 24 23
year2021 23 4 23
year2021 23 9 23
year2021 23 9 23
year2021 23 14 23
year2021 23 1 24
year2021 23 4 23
year2021 23 6 24
year2022 28 16 32
year2022 28 16 32
year2022 28 7 32
year2022 3 23 2
year2022 3 16 2
year2022 3 26 25
year2022 3 10 25
year2022 3 4 25
year2022 3 29 25
year2022 19 2 26
year2022 25 26 31
year2022 23 17 31
year2022 23 27 31
year2022 26 26 31
year2022 9 8 10
year2022 12 24 13
year2022 12 20 13
year2022 12 6 13
year2022 12 17 13
year2022 12 18 13
year2022 12 10 13
year2022 14 2 17
year2022 27 22 32
year2022 27 12 32
year2022 27 4 32
year2022 29 16 34
year2022 30 21 34
year2022 30 26 34
year2022 30 22 34
year2022 30 16 34
year2022 4 27 2
year2022 4 13 3
year2022 4 17 3
year2022 4 17 3
year2022 20 14 27
year2022 20 29 31
year2022 22 24 31
year2022 22 13 31
year2022 18 1 26
year2022 18 2 26
year2022 24 17 31
year2022 11 19 11
year2022 33 6 36
year2022 21 2 30
year2022 21 12 30
year2022 21 20 30
year2022 21 1 30
year2022 15 28 21
year2022 15 23 20
year2022 15 6 24
year2022 15 6 24
year2022 15 27 21
year2022 15 28 21
year2022 15 27 21
year2022 13 1 17
year2022 1 16 2
year2022 1 11 2
year2022 1 19 2
year2022 2 19 2
year2022 2 19 2
year2022 2 21 2
year2022 2 15 2
year2022 2 16 2
year2022 2 16 2
year2022 2 12 2
year2022 2 19 2
year2022 5 29 2
year2022 31 20 35
year2022 31 26 35
year2022 31 21 35
year2022 31 30 35
year2022 31 29 35
year2022 31 29 35
year2022 6 28 3
year2022 6 10 7
year2022 6 15 7
year2022 6 8 7
year2022 16 1 23
year2022 16 3 23
year2022 16 3 23
year2022 16 3 23
year2022 32 2 36
year2022 32 24 36
year2022 32 16 36
year2022 32 16 36
year2022 34 7 36
year2022 34 16 36
year2022 34 16 36
year2022 34 24 36
year2022 34 9 36
year2022 34 17 36
year2022 34 7 36
year2022 34 13 36
year2022 34 20 36
year2022 34 21 36
year2022 34 22 36
year2022 34 25 36
year2022 34 21 36
year2022 34 11 36
year2022 34 21 36
year2022 34 7 36
year2022 34 24 36
year2022 34 25 36
year2022 34 24 36
year2022 10 26 10
year2022 10 17 11
year2022 8 24 9
year2022 8 23 9
year2022 8 23 9
year2022 8 22 14
year2022 8 9 14
year2022 8 12 14
year2022 8 28 14
year2022 7 6 5
year2022 17 3 23
year2022 17 2 26
year2022 17 16 27
