trap.id x y usage
1 476440.214529125 5362547.40419675 111111111111111111111111111111
3 476564.796944833 5362469.53563758 111111111111111111111111111111
5 477214.535715114 5362518.79611084 111111111111111111111111111111
6 477571.702980622 5362385.34331131 001111111111111111111111111111
7 476471.529873919 5362961.01998384 100000000000000000000001111111
9 477135.640404274 5362716.63723912 111000000000000000000000000000
10 477285.369713142 5362948.43702505 111111111111111100000000000000
13 477697.723338857 5362818.55027168 001111111111111111111111111111
14 476518.034335826 5363470.29057201 111111111111111111111111111111
16 477199.178002186 5363998.11735521 111110000000000000000000000000
18 477028.598878127 5363489.81195476 111111111111100000000000000000
20 477412.034936309 5363281.08855296 100000000000000000000000000000
26 476404.923083611 5364733.61617933 111111111100000000000000000000
27 476891.685772748 5364385.78992637 011111111110000000000000000000
30 476538.905416931 5364936.84530567 111111111111111111111111111111
32 476641.899205082 5364730.23742767 011111000000000000000000000000
34 477385.752789142 5364666.7498815 111111111111111111111111111111
36 477189.259426368 5365043.68948722 001111111111111111111111111111
40 476709.014045074 5365294.30023431 011100000000000000000000000000
42 477495.343817182 5365348.14382516 011111111111111000000000000000
46 477822.959353373 5365304.83440946 111111111111111111111111111111
48 476394.980560793 5365755.34241599 111111111111111111111111111111
49 477132.729056945 5365459.31971366 011111111111111111111111111111
50 477222.904787807 5365814.03879419 111111111111111111111111111111
51 478124.934502231 5365764.16667616 110111111000000000000000000000
53 476657.133331459 5366039.26009427 111111111111111111111111111111
54 476878.346618573 5366553.38811311 111111111111111111111111111111
56 477489.959505688 5366374.91386795 111111111111111111111111111111
57 477830.371239357 5366083.34198717 111111111111111111111111111111
59 476418.145746814 5367002.19743979 111111111111111111111111111111
61 476516.076862151 5366565.8349732 111111111111111111111111111111
63 477790.292594829 5366592.70522902 111111111111111111111111111111
65 477175.473003864 5366944.18155355 000111100000000000000000000000
67 477501.911623825 5366963.43850085 000111111111111111111111111111
