session 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Oakbay2019 5 1 2 0 0 2 0 4 3 3 3 5 3 3 4 1 0 6 1 4 3 2 4 2 2 3 3 5 4 3
Oakbay2019 0 0 3 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 4 2 0 0 0 0
Oakbay2019 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1
Oakbay2019 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 0 0 2 1 0 0
Oakbay2019 5 6 0 5 5 5 4 5 3 4 5 4 2 1 6 10 1 4 3 0 0 0 0 0 0 0 0 0 0 0
Oakbay2019 0 0 5 1 2 1 5 2 0 0 1 0 0 0 0 6 4 0 1 0 2 0 3 7 3 0 6 1 2 2
Oakbay2019 5 1 3 0 3 2 2 2 3 6 4 1 1 1 1 2 2 1 3 3 1 6 4 3 4 6 9 5 1 3
Oakbay2019 2 1 0 3 3 3 1 1 4 0 2 2 1 0 0 1 4 3 1 2 3 3 3 0 1 2 1 1 4 1
Oakbay2019 0 1 0 0 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Oakbay2019 3 5 3 3 2 4 4 1 6 4 6 3 7 6 4 2 4 5 2 6 3 4 5 2 3 7 5 6 5 6
Oakbay2019 4 0 1 1 1 2 2 0 0 3 1 0 1 1 9 3 1 5 1 0 0 0 0 4 5 1 1 1 0 1
Oakbay2019 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0
Oakbay2019 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 3 0
Oakbay2019 2 1 2 2 2 1 0 0 10 1 1 0 2 0 0 0 0 2 0 0 2 2 2 4 1 2 0 7 1 3
Oakbay2019 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0
Oakbay2019 0 1 0 1 0 0 2 0 1 3 0 0 0 1 1 0 2 0 0 0 1 0 0 2 0 0 0 1 1 0
Oakbay2019 0 1 0 2 3 2 0 0 0 1 1 0 2 0 1 1 0 0 0 0 0 0 0 0 1 0 2 0 3 0
Oakbay2019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2019 2 2 0 3 2 1 2 2 1 0 2 4 4 1 2 3 3 1 6 1 3 5 8 4 0 5 2 2 4 5
Oakbay2019 0 0 0 1 3 2 4 2 1 2 3 3 4 3 4 3 4 5 6 3 5 7 3 4 1 4 3 3 5 3
Oakbay2019 1 0 1 1 0 1 0 0 1 0 0 0 2 0 2 0 1 1 0 1 0 0 0 1 0 3 0 0 0 0
Oakbay2019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2019 2 3 4 2 0 2 2 5 4 2 4 3 2 3 2 2 5 3 4 6 8 5 2 1 4 1 4 3 1 8
Oakbay2019 2 1 3 2 1 0 3 2 1 1 1 3 0 0 2 3 1 1 3 5 4 2 4 3 1 1 0 0 2 4
Oakbay2019 0 0 0 0 0 0 1 0 1 4 2 0 0 1 1 2 5 4 1 5 3 1 1 3 1 1 0 2 1 3
Oakbay2019 1 1 0 1 1 5 2 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2019 0 0 1 4 1 0 0 2 1 0 3 1 0 2 0 1 0 0 0 0 0 0 1 1 3 0 0 0 2 3
Oakbay2019 2 0 0 1 0 0 0 0 1 0 1 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0
Oakbay2019 1 2 2 2 1 2 2 1 0 0 0 2 5 2 5 5 1 1 0 0 1 1 5 3 1 1 4 0 3 1
Oakbay2019 1 1 1 2 2 0 0 1 2 3 2 1 1 4 2 1 1 1 0 3 4 1 2 1 2 2 1 1 1 2
Oakbay2019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2019 0 1 0 0 0 2 2 2 2 1 1 1 2 0 2 1 0 1 0 2 3 0 1 0 0 0 2 2 0 0
