session 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Oakbay2022 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 0 0 0 3 1 0 0 2 0 0 2 2 2 2 3 2 1 1 5 1 3 3 2 1 3 1 2 1 0 1
Oakbay2022 0 1 2 0 0 1 1 0 2 0 0 0 1 3 1 0 1 1 2 0 3 1 1 3 0 1 1 0 0 1
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1
Oakbay2022 0 0 0 1 0 1 0 0 0 1 2 1 1 1 1 1 0 0 0 0 0 0 1 1 0 2 2 0 0 1
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 1 1 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Oakbay2022 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 2 1 0 0 1 0
Oakbay2022 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 2 1 1 1 1 1 2 2 0 1 1 0
Oakbay2022 0 0 0 0 0 2 2 2 0 1 0 0 0 1 0 0 1 2 0 0 1 1 0 1 1 0 2 0 1 0
Oakbay2022 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 0 0 0 0
Oakbay2022 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 3 0 4 0 1 0 0 1 0
Oakbay2022 2 1 2 2 1 0 0 2 2 2 0 3 3 2 0 0 2 1 2 1 2 1 3 1 1 2 0 2 0 0
Oakbay2022 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Oakbay2022 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 0 0 1 0 0 0 0 3 0 1 0 0 3 2 1 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
Oakbay2022 1 0 1 0 0 1 0 2 0 0 1 0 0 3 1 1 0 0 0 1 1 1 0 0 1 1 1 2 1 3
Oakbay2022 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
Oakbay2022 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 0 1 1 1 3 0 0 2 1 0 0 1 1 2 0 1 0 1 2 1 0 4 1 1 4 2 2 0 0 0
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 4 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 5 3 2 4 2 5 3 0 2 1 2 2 5 5 7 8 3 3 3 5 3 0 2 7 4 6 3 3 4 5
Oakbay2022 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
Oakbay2022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
Oakbay2022 0 0 0 2 0 1 1 1 1 1 2 0 0 1 0 1 3 0 0 0 1 0 1 2 2 0 2 2 0 0
Oakbay2022 0 1 2 3 1 0 2 0 1 1 0 4 1 1 0 5 1 0 2 0 0 2 0 1 0 1 0 1 1 3
Oakbay2022 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 2 2 0 1 1 0 0 1 1 1 0 0 1 0
Oakbay2022 0 1 3 1 0 3 1 2 0 2 1 2 0 1 3 5 1 2 1 2 0 4 0 1 0 0 0 2 0 1
Oakbay2022 1 4 0 5 3 2 2 3 4 4 2 0 0 2 1 4 0 2 2 3 4 1 1 2 1 4 1 0 0 1
Oakbay2022 1 3 3 3 1 1 2 2 1 1 3 0 0 1 1 1 1 4 0 0 0 0 0 0 2 0 0 1 2 0
