session	deer_id	occasion	trap.id
test	40	4	300
test	40	16	300
test	40	18	300
test	40	20	300
test	102	13	301
test	102	24	301
test	102	27	301
test	17	4	303
test	17	12	303
test	17	19	303
test	17	24	303
test	238	10	304
test	227	15	304
test	192	16	304
test	238	16	304
test	129	18	304
test	238	22	304
test	238	25	304
test	238	29	304
test	129	29	304
test	129	30	304
test	79	6	305
test	79	9	305
test	79	10	305
test	79	14	305
test	79	17	305
test	79	18	305
test	191	4	306
test	191	6	306
test	191	12	306
test	191	13	306
test	190	14	306
test	191	17	306
test	191	18	306
test	82	20	306
test	190	22	306
test	190	22	306
test	191	22	306
test	191	25	306
test	54	1	307
test	54	3	307
test	35	4	307
test	35	4	307
test	54	4	307
test	54	4	307
test	77	5	307
test	54	7	307
test	54	7	307
test	131	8	307
test	54	9	307
test	54	10	307
test	55	10	307
test	54	10	307
test	54	11	307
test	54	11	307
test	55	12	307
test	55	12	307
test	54	13	307
test	54	13	307
test	35	14	307
test	77	14	307
test	54	17	307
test	55	18	307
test	131	19	307
test	139	24	307
test	54	24	307
test	54	25	307
test	55	25	307
test	55	25	307
test	54	26	307
test	54	27	307
test	54	28	307
test	54	29	307
test	77	29	307
test	139	2	308
test	250	3	308
test	250	3	308
test	250	4	308
test	250	4	308
test	250	5	308
test	250	6	308
test	250	6	308
test	250	8	308
test	250	8	308
test	250	8	308
test	250	11	308
test	250	12	308
test	250	12	308
test	131	14	308
test	250	14	308
test	131	16	308
test	131	19	308
test	131	19	308
test	250	22	308
test	250	22	308
test	250	24	308
test	250	24	308
test	250	24	308
test	250	25	308
test	131	26	308
test	250	28	308
test	77	29	308
test	42	7	309
test	250	17	309
test	42	24	309
test	42	24	309
test	140	26	309
test	42	28	309
test	6	6	310
test	6	13	310
test	6	13	310
test	6	28	310
test	6	28	310
test	6	29	310
test	113	1	311
test	6	1	311
test	44	3	311
test	44	6	311
test	44	9	311
test	44	9	311
test	267	10	311
test	6	11	311
test	44	12	311
test	39	15	311
test	39	15	311
test	44	16	311
test	39	17	311
test	267	19	311
test	39	19	311
test	6	28	311
test	267	29	311
test	115	1	312
test	115	1	312
test	29	3	312
test	29	4	312
test	115	6	312
test	115	6	312
test	256	7	312
test	256	7	312
test	256	8	312
test	256	9	312
test	256	13	312
test	256	13	312
test	222	20	312
test	256	20	312
test	256	21	312
test	256	23	312
test	222	23	312
test	256	28	312
test	256	30	312
test	61	8	313
test	114	27	313
test	114	27	313
test	53	17	314
test	146	22	314
test	114	25	314
test	114	26	314
test	59	2	315
test	218	3	315
test	59	4	315
test	59	6	315
test	59	9	315
test	218	10	315
test	59	11	315
test	53	12	315
test	53	12	315
test	59	12	315
test	218	12	315
test	59	14	315
test	218	15	315
test	218	16	315
test	59	18	315
test	53	18	315
test	218	19	315
test	218	21	315
test	59	24	315
test	218	24	315
test	218	24	315
test	59	25	315
test	59	26	315
test	5	26	315
test	218	26	315
test	218	28	315
test	59	29	315
test	59	29	315
test	53	30	315
test	218	30	315
test	136	4	316
test	207	4	316
test	207	4	316
test	136	10	316
test	207	16	316
test	21	20	316
test	21	21	316
test	21	21	316
test	218	26	316
test	218	30	316
test	218	30	316
test	14	10	317
test	14	10	317
test	21	12	317
test	28	14	317
test	144	28	317
test	266	1	318
test	266	5	318
test	266	7	318
test	266	9	318
test	266	11	318
test	266	14	318
test	109	15	318
test	266	16	318
test	266	19	318
test	266	23	318
test	266	30	318
test	36	2	319
test	36	2	319
test	36	9	319
test	109	13	319
test	193	14	319
test	193	15	319
test	193	21	319
test	36	25	319
test	36	26	319
test	109	27	319
test	36	5	320
test	188	11	320
test	36	16	320
test	36	23	320
test	36	26	320
test	38	2	321
test	121	3	321
test	38	10	321
test	194	13	321
test	121	14	321
test	38	21	321
test	194	28	321
test	63	2	322
test	62	3	322
test	38	4	322
test	62	7	322
test	63	8	322
test	62	10	322
test	62	11	322
test	62	12	322
test	62	14	322
test	62	15	322
test	62	18	322
test	62	19	322
test	62	21	322
test	62	24	322
test	62	26	322
test	62	27	322
test	62	28	322
test	62	28	322
test	62	28	322
test	128	16	323
test	128	18	323
test	221	25	323
test	128	28	323
test	62	29	323
test	221	30	323
test	171	2	324
test	245	3	324
test	171	4	324
test	245	4	324
test	171	6	324
test	171	7	324
test	171	7	324
test	171	8	324
test	171	8	324
test	171	8	324
test	171	9	324
test	245	9	324
test	248	10	324
test	245	10	324
test	171	11	324
test	245	12	324
test	171	13	324
test	248	14	324
test	245	14	324
test	245	15	324
test	245	15	324
test	171	18	324
test	248	18	324
test	248	19	324
test	248	19	324
test	171	19	324
test	248	20	324
test	245	22	324
test	248	22	324
test	171	22	324
test	245	22	324
test	245	22	324
test	248	24	324
test	171	25	324
test	245	25	324
test	245	27	324
test	171	27	324
test	245	27	324
test	248	28	324
test	245	28	324
test	248	29	324
test	245	29	324
test	258	4	325
test	147	4	325
test	258	5	325
test	258	7	325
test	258	8	325
test	258	8	325
test	253	9	325
test	258	12	325
test	258	13	325
test	258	24	325
test	253	25	325
test	258	26	325
test	258	28	325
test	147	1	326
test	258	5	326
test	147	8	326
test	147	8	326
test	147	8	326
test	147	9	326
test	147	14	326
test	147	16	326
test	147	17	326
test	147	19	326
test	147	21	326
test	147	21	326
test	147	24	326
test	147	24	326
test	147	27	326
test	147	27	326
test	147	27	326
test	147	27	326
test	280	4	327
test	280	5	327
test	95	6	327
test	280	9	327
test	95	12	327
test	280	13	327
test	280	14	327
test	280	14	327
test	95	16	327
test	130	17	327
test	280	21	327
test	280	23	327
test	280	28	327
test	158	1	328
test	158	1	328
test	158	2	328
