session	deer_id	occasion	trap.id
test	188	3	400
test	188	9	400
test	188	16	400
test	188	21	400
test	99	2	401
test	256	3	401
test	256	6	401
test	236	9	401
test	256	9	401
test	256	10	401
test	309	12	401
test	236	12	401
test	309	15	401
test	193	16	401
test	256	17	401
test	256	20	401
test	236	24	401
test	193	25	401
test	309	26	401
test	236	28	401
test	236	29	401
test	236	29	401
test	256	30	401
test	309	1	402
test	259	4	402
test	309	5	402
test	309	6	402
test	309	6	402
test	309	7	402
test	309	12	402
test	309	12	402
test	309	14	402
test	99	16	402
test	99	16	402
test	309	17	402
test	309	17	402
test	99	19	402
test	309	19	402
test	309	21	402
test	309	23	402
test	99	26	402
test	99	27	402
test	99	29	402
test	375	9	403
test	375	9	403
test	375	14	403
test	45	2	404
test	45	2	404
test	242	3	404
test	242	3	404
test	327	4	404
test	242	4	404
test	242	4	404
test	242	13	404
test	134	14	404
test	242	20	404
test	242	23	404
test	327	23	404
test	327	26	404
test	327	26	404
test	242	27	404
test	327	28	404
test	242	29	404
test	375	29	404
test	305	1	405
test	305	1	405
test	183	1	405
test	353	1	405
test	183	1	405
test	327	2	405
test	305	2	405
test	183	3	405
test	183	3	405
test	305	3	405
test	305	5	405
test	183	5	405
test	183	5	405
test	305	5	405
test	229	5	405
test	183	6	405
test	305	6	405
test	257	6	405
test	183	6	405
test	183	6	405
test	183	7	405
test	183	8	405
test	45	8	405
test	45	8	405
test	305	8	405
test	305	9	405
test	305	9	405
test	45	10	405
test	183	12	405
test	45	12	405
test	305	14	405
test	305	15	405
test	45	15	405
test	183	15	405
test	305	16	405
test	305	16	405
test	183	17	405
test	183	17	405
test	183	17	405
test	305	18	405
test	305	18	405
test	183	19	405
test	183	19	405
test	183	19	405
test	183	20	405
test	183	20	405
test	305	21	405
test	183	22	405
test	183	23	405
test	45	25	405
test	45	25	405
test	305	25	405
test	183	26	405
test	183	26	405
test	183	26	405
test	183	26	405
test	305	27	405
test	183	27	405
test	183	27	405
test	305	27	405
test	305	28	405
test	183	28	405
test	327	28	405
test	183	28	405
test	305	28	405
test	183	29	405
test	183	30	405
test	183	30	405
test	305	30	405
test	76	1	406
test	35	6	406
test	67	8	406
test	35	9	406
test	299	12	406
test	299	12	406
test	58	13	406
test	35	13	406
test	35	15	406
test	35	18	406
test	35	22	406
test	169	22	406
test	35	22	406
test	35	22	406
test	67	23	406
test	169	25	406
test	58	27	406
test	58	27	406
test	58	29	406
test	250	2	407
test	250	2	407
test	250	3	407
test	243	5	407
test	250	7	407
test	250	9	407
test	169	11	407
test	250	11	407
test	169	12	407
test	169	12	407
test	250	13	407
test	250	16	407
test	250	17	407
test	250	17	407
test	250	18	407
test	250	20	407
test	76	20	407
test	250	20	407
test	243	21	407
test	169	23	407
test	250	24	407
test	250	28	407
test	250	30	407
test	213	2	408
test	262	5	408
test	213	11	408
test	213	11	408
test	44	12	408
test	290	12	408
test	44	15	408
test	290	16	408
test	213	21	408
test	290	23	408
test	44	4	409
test	127	8	409
test	44	9	409
test	341	12	409
test	44	14	409
test	44	15	409
test	341	22	409
test	127	27	409
test	290	28	409
test	54	4	411
test	285	2	412
test	12	3	412
test	285	4	412
test	285	5	412
test	285	8	412
test	285	8	412
test	285	10	412
test	285	12	412
test	285	12	412
test	285	14	412
test	285	16	412
test	285	17	412
test	285	18	412
test	285	20	412
test	285	23	412
test	285	23	412
test	285	24	412
test	285	24	412
test	12	25	412
test	285	25	412
test	285	26	412
test	285	28	412
test	12	29	412
test	184	9	413
test	72	10	413
test	220	13	413
test	184	13	413
test	220	15	413
test	184	18	413
test	220	18	413
test	184	19	413
test	184	27	413
test	174	1	414
test	210	1	414
test	220	1	414
test	174	2	414
test	174	3	414
test	174	4	414
test	174	4	414
test	220	5	414
test	174	5	414
test	174	5	414
test	174	5	414
test	174	6	414
test	174	7	414
test	150	7	414
test	174	8	414
test	174	9	414
test	174	9	414
test	174	9	414
test	174	11	414
test	184	12	414
test	174	12	414
test	184	12	414
test	174	12	414
test	174	13	414
test	174	14	414
test	174	15	414
test	174	15	414
test	174	16	414
test	174	16	414
test	174	16	414
test	210	17	414
test	174	17	414
test	174	18	414
test	174	18	414
test	174	19	414
test	150	19	414
test	184	19	414
test	174	19	414
test	174	21	414
test	174	21	414
test	150	21	414
test	150	21	414
test	150	21	414
test	150	22	414
test	174	22	414
test	220	22	414
test	210	25	414
test	174	25	414
test	174	25	414
test	174	26	414
test	220	27	414
test	210	27	414
test	174	27	414
test	174	30	414
test	174	30	414
test	8	3	415
test	61	4	415
test	150	7	415
test	228	8	415
test	210	11	415
test	61	12	415
test	150	14	415
test	61	18	415
test	228	19	415
test	150	20	415
test	61	21	415
test	61	25	415
test	61	26	415
test	228	27	415
test	228	28	415
test	61	28	415
test	8	1	416
test	8	1	416
test	8	1	416
test	23	2	416
test	8	2	416
test	228	4	416
test	8	4	416
test	8	5	416
test	23	5	416
test	23	5	416
test	31	6	416
test	31	6	416
test	8	6	416
test	8	6	416
test	8	6	416
test	8	7	416
test	295	7	416
test	8	8	416
test	8	9	416
test	8	10	416
test	31	10	416
test	31	12	416
test	8	13	416
test	8	13	416
test	31	13	416
test	8	13	416
test	31	14	416
test	23	15	416
test	8	15	416
test	8	16	416
test	8	17	416
test	8	17	416
test	8	19	416
test	8	19	416
test	31	19	416
test	142	19	416
test	8	20	416
test	8	22	416
test	8	22	416
test	8	23	416
test	31	23	416
test	8	24	416
test	31	24	416
test	8	25	416
test	31	25	416
test	8	25	416
test	8	25	416
test	8	26	416
test	31	27	416
test	8	27	416
test	31	28	416
test	142	28	416
test	295	1	417
test	295	2	417
test	295	3	417
test	295	3	417
test	27	5	417
test	295	5	417
test	295	5	417
test	295	6	417
test	295	6	417
test	27	6	417
test	303	8	417
test	295	8	417
test	295	10	417
test	295	10	417
test	295	12	417
test	295	14	417
test	295	15	417
test	295	15	417
test	295	17	417
test	311	17	417
test	311	20	417
test	311	20	417
test	295	20	417
test	27	20	417
test	27	20	417
test	295	21	417
test	23	21	417
test	23	21	417
test	295	22	417
test	295	22	417
test	295	23	417
test	295	23	417
test	27	24	417
test	27	24	417
test	295	25	417
test	295	25	417
test	27	27	417
test	27	27	417
test	303	28	417
test	295	28	417
test	311	29	417
test	311	29	417
test	23	30	417
test	295	30	417
test	320	4	418
test	51	12	418
test	51	13	418
test	51	24	418
test	51	25	418
test	51	26	418
test	51	26	418
test	51	30	418
test	377	1	419
test	377	1	419
test	19	2	419
test	19	2	419
test	19	6	419
test	19	8	419
test	19	14	419
test	377	17	419
test	377	17	419
test	396	19	419
test	19	19	419
test	19	19	419
test	19	20	419
test	19	22	419
test	19	22	419
test	377	22	419
test	19	23	419
test	19	23	419
test	151	24	419
test	19	25	419
test	19	29	419
test	292	1	420
test	254	5	420
test	377	6	420
test	279	7	420
test	292	8	420
test	292	8	420
test	65	8	420
test	292	9	420
test	65	9	420
test	292	10	420
test	292	11	420
test	254	16	420
test	65	17	420
test	65	17	420
test	292	22	420
test	292	25	420
test	254	26	420
test	377	27	420
test	377	27	420
test	292	29	420
test	292	29	420
test	292	30	420
test	224	1	421
test	367	3	421
test	224	4	421
test	224	4	421
test	224	6	421
test	108	6	421
test	224	7	421
test	224	7	421
test	224	9	421
test	108	10	421
test	108	11	421
test	224	11	421
test	224	13	421
test	367	14	421
test	254	15	421
test	108	17	421
test	108	18	421
test	254	18	421
test	108	22	421
test	108	22	421
test	203	23	421
test	224	23	421
test	108	24	421
test	108	24	421
test	224	27	421
test	224	29	421
test	108	29	421
test	224	29	421
test	224	2	422
test	367	4	422
test	367	5	422
test	224	8	422
test	224	9	422
test	224	10	422
test	367	10	422
test	203	11	422
test	203	12	422
test	367	13	422
test	13	14	422
test	108	14	422
test	203	16	422
test	108	17	422
test	13	18	422
test	367	21	422
test	350	27	422
test	203	27	422
test	109	3	423
test	204	3	423
test	204	8	423
test	204	8	423
test	204	11	423
test	109	19	423
test	204	22	423
test	204	23	423
test	109	25	423
test	219	7	424
test	219	15	424
test	219	15	424
test	219	15	424
test	319	18	424
test	310	20	424
test	219	29	424
test	322	1	425
test	322	2	425
test	82	2	425
test	322	5	425
test	310	5	425
test	322	5	425
test	310	6	425
test	310	7	425
test	322	7	425
test	310	7	425
test	310	10	425
test	310	10	425
test	82	10	425
test	322	10	425
test	322	10	425
test	310	11	425
test	322	15	425
test	322	17	425
test	322	18	425
test	322	19	425
test	310	23	425
test	322	24	425
test	310	24	425
test	310	25	425
test	310	26	425
test	310	29	425
test	322	29	425
test	310	29	425
test	310	30	425
test	277	15	426
test	88	21	427
test	34	26	427
test	391	1	428
test	207	1	428
test	34	2	428
test	34	4	428
test	34	5	428
test	34	5	428
test	34	6	428
test	34	6	428
test	88	7	428
test	34	7	428
test	34	7	428
test	207	8	428
test	207	8	428
test	34	8	428
test	34	9	428
test	34	10	428
test	34	11	428
test	315	11	428
test	34	11	428
test	207	13	428
test	207	13	428
test	34	14	428
test	34	14	428
test	391	14	428
test	34	15	428
test	50	15	428
test	34	16	428
test	34	17	428
test	391	18	428
test	50	19	428
test	207	19	428
test	34	19	428
test	50	20	428
test	34	21	428
test	34	22	428
test	34	22	428
test	34	25	428
test	34	27	428
test	34	28	428
test	391	29	428
test	34	29	428
test	50	29	428
test	391	30	428
test	34	30	428
