session	deer_id	occasion	trap.id
test	132	1	300
test	132	1	300
test	132	2	300
test	132	3	300
test	132	3	300
test	254	4	300
test	132	4	300
test	136	4	300
test	254	6	300
test	254	6	300
test	132	6	300
test	132	6	300
test	132	7	300
test	132	7	300
test	132	10	300
test	132	11	300
test	254	11	300
test	132	11	300
test	132	11	300
test	132	12	300
test	136	12	300
test	136	12	300
test	132	15	300
test	132	17	300
test	132	17	300
test	132	18	300
test	132	20	300
test	132	21	300
test	132	21	300
test	132	22	300
test	132	22	300
test	132	22	300
test	132	26	300
test	132	26	300
test	132	27	300
test	132	27	300
test	132	27	300
test	132	27	300
test	254	29	300
test	166	1	301
test	78	2	301
test	222	3	301
test	254	5	301
test	222	6	301
test	166	6	301
test	166	8	301
test	222	9	301
test	136	12	301
test	254	12	301
test	166	12	301
test	222	16	301
test	166	16	301
test	254	19	301
test	166	20	301
test	222	21	301
test	166	21	301
test	222	22	301
test	222	23	301
test	136	23	301
test	222	24	301
test	166	25	301
test	254	25	301
test	136	26	301
test	254	27	301
test	214	1	302
test	214	1	302
test	199	8	302
test	199	11	302
test	199	11	302
test	199	15	302
test	214	16	302
test	199	16	302
test	199	17	302
test	199	19	302
test	199	19	302
test	214	22	302
test	199	27	302
test	214	28	302
test	199	29	302
test	199	29	302
test	199	30	302
test	177	3	303
test	177	11	303
test	151	13	303
test	151	13	303
test	177	16	303
test	161	20	303
test	199	21	303
test	151	24	303
test	177	25	303
test	151	26	303
test	151	26	303
test	177	26	303
test	177	27	303
test	158	1	304
test	158	3	304
test	151	3	304
test	151	3	304
test	158	3	304
test	151	7	304
test	151	8	304
test	158	9	304
test	158	9	304
test	151	10	304
test	230	13	304
test	230	13	304
test	151	13	304
test	151	14	304
test	172	17	304
test	172	18	304
test	151	20	304
test	172	20	304
test	172	22	304
test	172	22	304
test	172	25	304
test	177	25	304
test	158	27	304
test	158	30	304
test	172	30	304
test	172	30	304
test	230	30	304
test	158	2	305
test	127	4	305
test	127	4	305
test	230	7	305
test	127	8	305
test	230	8	305
test	127	15	305
test	230	16	305
test	127	19	305
test	172	21	305
test	127	21	305
test	230	21	305
test	127	23	305
test	247	23	305
test	247	23	305
test	230	24	305
test	127	26	305
test	127	28	305
test	127	29	305
test	127	30	305
test	127	30	305
test	272	0	306
test	272	1	306
test	272	1	306
test	272	2	306
test	272	2	306
test	272	2	306
test	272	3	306
test	272	4	306
test	272	6	306
test	272	7	306
test	272	7	306
test	272	7	306
test	272	8	306
test	272	9	306
test	272	10	306
test	272	10	306
test	272	10	306
test	272	11	306
test	272	12	306
test	272	12	306
test	272	13	306
test	272	13	306
test	272	14	306
test	272	15	306
test	272	16	306
test	272	16	306
test	272	17	306
test	272	17	306
test	272	17	306
test	272	17	306
test	272	19	306
test	272	19	306
test	272	20	306
test	272	21	306
test	272	21	306
test	272	22	306
test	272	24	306
test	272	24	306
test	272	24	306
test	272	25	306
test	272	26	306
test	272	27	306
test	272	28	306
test	272	28	306
test	272	29	306
test	272	30	306
test	78	17	307
test	20	1	308
test	20	1	308
test	20	4	308
test	20	5	308
test	20	6	308
test	20	6	308
test	20	6	308
test	178	7	308
test	20	7	308
test	20	7	308
test	20	8	308
test	20	8	308
test	20	9	308
test	20	10	308
test	20	11	308
test	20	12	308
test	20	12	308
test	20	13	308
test	20	13	308
test	20	15	308
test	20	15	308
test	20	15	308
test	20	17	308
test	178	17	308
test	20	17	308
test	20	18	308
test	20	21	308
test	20	23	308
test	20	23	308
test	20	23	308
test	20	25	308
test	178	26	308
test	178	26	308
test	20	27	308
test	20	29	308
test	20	30	308
test	20	30	308
test	178	30	308
test	20	3	309
test	249	5	309
test	178	7	309
test	224	8	309
test	224	8	309
test	178	12	309
test	178	14	309
test	178	14	309
test	178	22	309
test	178	22	309
test	20	27	309
test	178	28	309
test	60	29	309
test	60	1	310
test	245	2	310
test	60	3	310
test	245	3	310
test	245	3	310
test	245	3	310
test	60	11	310
test	245	12	310
test	245	13	310
test	245	14	310
test	288	17	310
test	245	25	310
test	249	25	310
test	249	25	310
test	58	27	310
test	245	29	310
test	245	13	311
test	266	15	311
test	186	14	313
test	186	14	313
test	186	16	313
test	226	19	313
test	186	21	313
test	186	26	313
test	186	2	314
test	129	8	314
test	186	13	314
test	186	19	314
test	186	19	314
test	129	28	314
test	171	4	315
test	129	10	315
test	243	21	315
test	243	21	315
test	243	22	315
test	243	22	315
test	171	23	315
test	129	23	315
test	171	27	315
test	81	30	315
test	150	3	316
test	150	13	316
test	202	14	316
test	150	16	316
test	150	17	316
test	243	18	316
test	150	18	316
test	150	21	316
test	202	25	316
test	202	25	316
test	202	27	316
test	235	6	317
test	235	9	317
test	150	12	317
test	122	1	318
test	51	2	318
test	51	2	318
test	152	3	318
test	152	3	318
test	51	7	318
test	51	8	318
test	122	8	318
test	122	8	318
test	152	10	318
test	152	11	318
test	122	12	318
test	152	13	318
test	152	15	318
test	122	15	318
test	152	20	318
test	51	21	318
test	152	21	318
test	152	22	318
test	152	23	318
test	51	25	318
test	139	26	318
test	152	26	318
test	51	27	318
test	152	30	318
test	139	3	319
test	139	4	319
test	152	4	319
test	139	5	319
test	139	7	319
test	139	9	319
test	139	10	319
test	139	11	319
test	139	11	319
test	139	12	319
test	139	12	319
test	139	13	319
test	139	15	319
test	139	18	319
test	152	20	319
test	139	21	319
test	139	24	319
test	139	24	319
test	139	24	319
test	139	27	319
test	139	29	319
test	257	4	320
test	257	6	320
test	257	7	320
test	257	8	320
test	257	9	320
test	258	9	320
test	258	9	320
test	257	12	320
test	257	12	320
test	257	14	320
test	257	19	320
test	257	21	320
test	257	23	320
test	257	24	320
test	257	25	320
test	257	25	320
test	257	28	320
test	101	2	321
test	101	2	321
test	101	9	321
test	42	10	321
test	101	10	321
test	42	17	321
test	258	20	321
test	101	27	321
test	101	27	321
test	101	28	321
test	101	28	321
test	42	1	322
test	42	2	322
test	42	7	322
test	42	11	322
test	42	13	322
test	15	14	322
test	15	14	322
test	42	15	322
test	163	15	322
test	42	16	322
test	15	16	322
test	42	17	322
test	295	18	322
test	264	18	322
test	101	20	322
test	101	20	322
test	101	21	322
test	163	22	322
test	278	23	322
test	15	27	322
test	278	27	322
test	15	30	322
test	264	1	323
test	264	2	323
test	264	2	323
test	163	3	323
test	50	3	323
test	15	4	323
test	295	4	323
test	295	4	323
test	264	5	323
test	163	6	323
test	163	6	323
test	50	7	323
test	163	8	323
test	264	8	323
test	163	8	323
test	264	8	323
test	264	9	323
test	163	11	323
test	264	12	323
test	264	13	323
test	295	13	323
test	163	13	323
test	50	15	323
test	264	18	323
test	15	22	323
test	163	23	323
test	264	23	323
test	295	24	323
test	264	24	323
test	264	24	323
test	50	28	323
test	50	28	323
test	264	28	323
test	264	28	323
test	50	29	323
test	50	29	323
test	295	30	323
test	295	30	323
test	154	0	324
test	154	1	324
test	154	1	324
test	154	1	324
test	270	2	324
test	154	3	324
test	154	4	324
test	154	5	324
test	154	5	324
test	154	6	324
test	154	7	324
test	154	7	324
test	154	7	324
test	154	8	324
test	154	8	324
test	154	8	324
test	154	9	324
test	154	10	324
test	154	10	324
test	270	11	324
test	154	11	324
test	154	11	324
test	154	12	324
test	154	12	324
test	154	13	324
test	154	13	324
test	154	13	324
test	154	14	324
test	154	14	324
test	154	15	324
test	154	15	324
test	154	15	324
test	154	16	324
test	154	17	324
test	154	17	324
test	154	18	324
test	154	18	324
test	154	18	324
test	154	19	324
test	154	19	324
test	154	19	324
test	154	19	324
test	154	19	324
test	154	20	324
test	154	21	324
test	154	23	324
test	154	23	324
test	154	23	324
test	154	24	324
test	154	25	324
test	154	25	324
test	154	25	324
test	154	26	324
test	154	27	324
test	154	27	324
test	154	27	324
test	154	28	324
test	154	28	324
test	154	29	324
test	154	29	324
test	154	29	324
test	154	30	324
test	154	30	324
test	270	1	325
test	270	6	325
test	69	11	325
test	167	14	325
test	167	17	325
test	167	20	325
test	291	28	325
test	154	30	325
test	291	1	326
test	291	2	326
test	291	9	326
test	291	9	326
test	291	12	326
test	291	13	326
test	291	13	326
test	291	14	326
test	291	15	326
test	69	16	326
test	291	16	326
test	291	16	326
test	291	16	326
test	291	21	326
test	291	21	326
test	291	22	326
test	291	22	326
test	291	23	326
test	291	23	326
test	291	26	326
test	291	27	326
test	69	30	326
test	4	1	327
test	4	10	327
test	4	10	327
test	4	10	327
test	4	11	327
test	4	17	327
test	4	20	327
test	4	21	327
test	265	5	328
test	4	15	328
test	4	18	328
test	4	18	328
test	265	20	328
test	38	1	329
test	89	7	329
test	89	7	329
test	38	12	329
test	38	19	329
test	38	23	329
test	240	2	330
test	240	2	330
test	206	3	330
test	191	4	330
test	191	6	330
test	191	6	330
test	206	6	330
test	206	6	330
test	259	9	330
test	259	9	330
test	191	12	330
test	259	12	330
test	206	21	330
test	259	21	330
test	259	23	330
test	259	23	330
test	191	30	330
test	32	10	331
test	32	10	331
test	191	14	331
test	206	16	331
test	10	16	331
test	191	16	331
test	206	17	331
test	206	17	331
test	32	19	331
test	191	20	331
test	191	21	331
test	206	24	331
test	191	24	331
test	32	25	331
test	10	26	331
test	10	26	331
test	98	27	331
test	206	28	331
test	32	30	331
test	175	2	332
test	175	2	332
test	175	3	332
test	47	4	332
test	47	5	332
test	47	5	332
test	175	7	332
test	88	7	332
test	175	8	332
test	88	9	332
test	88	10	332
test	47	11	332
test	175	12	332
test	175	15	332
test	47	16	332
test	175	16	332
test	175	18	332
test	175	18	332
test	47	19	332
test	175	21	332
test	175	22	332
test	175	22	332
test	175	23	332
test	88	23	332
test	88	23	332
test	23	23	332
test	47	24	332
test	88	25	332
test	88	25	332
test	175	26	332
test	175	27	332
test	23	27	332
test	88	28	332
test	32	28	332
test	23	29	332
test	23	13	333
test	233	23	333
test	91	1	334
test	91	1	334
test	233	9	334
test	233	9	334
test	248	19	334
test	248	19	334
test	248	25	334
test	248	25	334
test	248	29	334
test	91	2	335
test	91	3	335
test	67	8	335
test	91	9	335
test	91	11	335
test	275	12	335
test	275	17	335
test	187	18	335
test	275	19	335
test	91	20	335
test	91	21	335
test	67	23	335
test	275	23	335
test	91	23	335
test	187	24	335
test	91	25	335
test	91	25	335
test	67	25	335
test	275	29	335
